N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 5.692305000E-03 -1.806075000E-03 -1.839592400E-02 -5.151094600E-02 -1.108825490E-01 -1.492581260E-01 -9.988980800E-02 -3.079723000E-03 9.615831000E-03 1.642617400E-02 2.553191500E-02
1.600000000E+01 3.163703400E-02 3.101741000E-02 3.066009600E-02 3.016396200E-02 2.974722300E-02 2.893138400E-02 2.762735300E-02 2.423477500E-02 1.646252700E-02 4.831593000E-03 -1.640038200E-02
1.700000000E+01 6.184765500E-02 5.975736900E-02 5.801649100E-02 5.696992400E-02 5.620121700E-02 5.623702500E-02 5.741711600E-02 5.908578600E-02 6.139674100E-02 6.496123000E-02 6.865923000E-02
1.549996187E+01 2.322718900E-02 2.262814100E-02 2.139968100E-02 1.822438300E-02 1.193200700E-02 -1.091610000E-04 -2.264003700E-02 -6.204814300E-02 -1.245391250E-01 -1.668994730E-01 -1.193915690E-01
1.649996187E+01 5.343785400E-02 5.153550100E-02 5.047076400E-02 4.931635900E-02 4.879385700E-02 4.906827600E-02 4.942894900E-02 5.002567600E-02 5.115648100E-02 5.157267700E-02 5.130253400E-02
1.674996808E+01 6.025544300E-02 5.819944800E-02 5.696396700E-02 5.580035700E-02 5.520162300E-02 5.557361900E-02 5.614936700E-02 5.729669300E-02 5.940337800E-02 6.139029700E-02 6.346919400E-02
1.624993176E+01 4.181298100E-02 4.052824900E-02 3.954185800E-02 3.923187200E-02 3.893676800E-02 3.876154000E-02 3.889389500E-02 3.847119500E-02 3.722183700E-02 3.492556700E-02 2.923551000E-02
1.574996808E+01 2.585217300E-02 2.593070000E-02 2.553372000E-02 2.473504200E-02 2.298704200E-02 1.976188400E-02 1.296768600E-02 2.768910000E-04 -2.211739900E-02 -6.056167600E-02 -1.195171920E-01
1.524993176E+01 1.607886600E-02 1.417308100E-02 9.295911000E-03 -1.012652000E-03 -2.139271400E-02 -5.898775100E-02 -1.217995530E-01 -1.567483810E-01 -1.062605330E-01 -1.100945800E-02 8.245101000E-03
