N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -2.166249000E-03 -2.570227000E-03 -3.640268000E-03 -5.181527000E-03
1.600000000E+01 3.434476500E-02 3.393274000E-02 3.348096200E-02 3.243609800E-02
1.700000000E+01 8.485063100E-02 8.233206900E-02 7.930086100E-02 7.829008300E-02
1.549996187E+01 2.186246100E-02 2.102940700E-02 2.192540500E-02 2.203632600E-02
1.649996187E+01 6.355447300E-02 6.182686100E-02 6.096241900E-02 5.994288900E-02
1.674996808E+01 7.642963900E-02 7.304988500E-02 7.216110600E-02 7.114880600E-02
1.624993176E+01 4.755439300E-02 4.687344500E-02 4.607608800E-02 4.542018900E-02
1.574996808E+01 2.674443200E-02 2.675406700E-02 2.595835900E-02 2.633923800E-02
1.524993176E+01 1.281614200E-02 1.248400000E-02 1.266991400E-02 1.246458900E-02
