T file kT1 TDD TDD
335 001_335 34.61 1.000000E+10 0.000000E+0
335 002_335 34.61 1.468000E+10 0.000000E+0
335 003_335 34.61 2.154000E+10 0.000000E+0
335 004_335 34.61 3.162000E+10 0.000000E+0
335 005_335 34.61 4.642000E+10 0.000000E+0
335 006_335 34.61 6.813000E+10 0.000000E+0
335 007_335 34.61 1.000000E+11 0.000000E+0
335 008_335 34.61 1.468000E+11 0.000000E+0
335 009_335 34.61 2.154000E+11 0.000000E+0
335 010_335 34.61 3.162000E+11 0.000000E+0
335 011_335 34.61 4.642000E+11 0.000000E+0
335 012_335 34.61 6.813000E+11 0.000000E+0
335 013_335 34.61 1.000000E+12 0.000000E+0
335 014_335 34.61 1.468000E+12 0.000000E+0
335 015_335 34.61 2.154000E+12 0.000000E+0
335 016_335 34.61 3.162000E+12 0.000000E+0
335 017_335 34.61 4.642000E+12 0.000000E+0
335 018_335 34.61 6.813000E+12 0.000000E+0
335 019_335 34.61 1.000000E+13 0.000000E+0
