N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.191805649E+00 1.190113189E+00 1.188661375E+00 1.186448791E+00
1.600000000E+01 1.254949379E+00 1.252767473E+00 1.251241351E+00 1.248890564E+00
1.700000000E+01 1.326021758E+00 1.322984531E+00 1.320592767E+00 1.320130253E+00
1.549996187E+01 1.230112234E+00 1.227052670E+00 1.226069764E+00 1.224944742E+00
1.649996187E+01 1.284959255E+00 1.282249090E+00 1.280838853E+00 1.279676608E+00
1.674996808E+01 1.304067705E+00 1.300132883E+00 1.299171605E+00 1.298216955E+00
1.624993176E+01 1.268592451E+00 1.266685517E+00 1.265027042E+00 1.263754880E+00
1.574996808E+01 1.242320405E+00 1.240287336E+00 1.237826440E+00 1.236878649E+00
1.524993176E+01 1.215643868E+00 1.213445883E+00 1.212052431E+00 1.211012857E+00
