fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0DL0 7:19 293.2 39.54 9.958E-001 2.001E-005 5.016E-010 3.514 1.174 2.533E+003 1.714E-004 0.1639 1.713E-004 9.071E-006 0.3231 
0DL1 7:28 293.3 39.53 9.958E-001 2.233E-005 1.247E-009 3.639 1.239 2.533E+003 1.719E-004 0.1621 1.718E-004 8.931E-006 0.3207 
0DL2 7:30 293.3 39.53 9.958E-001 1.938E-005 4.014E-010 3.475 1.16 2.533E+003 1.703E-004 0.1638 1.701E-004 9.016E-006 0.3236 
0DL3 7:33 293.4 39.52 9.958E-001 1.855E-005 2.178E-010 3.419 1.121 2.533E+003 1.741E-004 0.1664 1.740E-004 9.418E-006 0.3252 
0DL4 7:36 293.4 39.52 9.958E-001 2.141E-005 1.014E-009 3.587 1.223 2.533E+003 1.674E-004 0.1604 1.672E-004 8.587E-006 0.3202 
0DL5 7:39 293.4 39.52 9.958E-001 2.168E-005 1.109E-009 3.601 1.23 2.533E+003 1.717E-004 0.1625 1.716E-004 8.962E-006 0.3214 
0DL6 7:41 293.4 39.52 9.958E-001 2.103E-005 8.091E-010 3.561 1.206 2.533E+003 1.719E-004 0.163 1.718E-004 9.018E-006 0.3221 
0DL7 7:45 293.5 39.5 9.958E-001 2.187E-005 9.547E-010 3.598 1.218 2.533E+003 1.722E-004 0.1622 1.721E-004 8.975E-006 0.3215 
0DL8 7:48 293.5 39.5 9.958E-001 1.981E-005 4.838E-010 3.49 1.17 2.533E+003 1.722E-004 0.1642 1.721E-004 9.150E-006 0.3238 
0DL9 7:51 293.5 39.5 9.958E-001 2.080E-005 8.081E-010 3.547 1.205 2.533E+003 1.723E-004 0.1634 1.722E-004 9.075E-006 0.3226 
