fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
0DT0 6:41 292 39.71 1.576E+000 3.594E-006 6.917E-011 2.941 1.081 6.607E+002 
0DT1 6:44 292 39.71 1.576E+000 3.763E-006 8.742E-011 2.975 1.094 6.607E+002 
0DT2 6:48 292 39.71 1.576E+000 3.136E-006 4.427E-011 2.854 1.057 6.607E+002 
0DT3 6:52 292 39.71 1.576E+000 4.028E-006 1.132E-010 3.02 1.108 6.607E+002 
0DT4 6:55 292.1 39.69 1.576E+000 3.113E-006 4.185E-011 2.845 1.053 6.607E+002 
0DT5 6:58 292.1 39.69 1.576E+000 3.744E-006 9.218E-011 2.969 1.095 6.607E+002 
0DT6 7:2 292.2 39.68 1.576E+000 3.062E-006 4.359E-011 2.836 1.055 6.607E+002 
0DT7 7:6 292.3 39.67 1.576E+000 3.553E-006 1.126E-010 2.939 1.108 6.607E+002 
0DT8 7:8 292.3 39.67 1.576E+000 2.923E-006 3.614E-011 2.805 1.044 6.607E+002 
0DT9 7:11 292.3 39.67 1.576E+000 3.988E-006 1.096E-010 3.004 1.104 6.607E+002 
