N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+16 340 1.900E-4 1.233756139E+00 1.286210973E+00
1.468000E+10 3.162E+16 340 1.900E-4 1.248294771E+00 1.286407069E+00
2.154000E+10 3.162E+16 340 1.900E-4 1.259455517E+00 1.286691148E+00
3.162000E+10 3.162E+16 340 1.900E-4 1.267885780E+00 1.287100269E+00
4.642000E+10 3.162E+16 340 1.900E-4 1.274264290E+00 1.287684499E+00
6.813000E+10 3.162E+16 340 1.900E-4 1.279209877E+00 1.288508788E+00
1.000000E+11 3.162E+16 340 1.900E-4 1.283250120E+00 1.289652358E+00
1.468000E+11 3.162E+16 340 1.900E-4 1.286817346E+00 1.291202819E+00
2.154000E+11 3.162E+16 340 1.900E-4 1.290249692E+00 1.293242056E+00
3.162000E+11 3.162E+16 340 1.900E-4 1.293786033E+00 1.295822862E+00
4.642000E+11 3.162E+16 340 1.900E-4 1.297556553E+00 1.298942401E+00
6.813000E+11 3.162E+16 340 1.900E-4 1.301581336E+00 1.302526731E+00
1.000000E+12 3.162E+16 340 1.900E-4 1.305791611E+00 1.306441018E+00
1.468000E+12 3.162E+16 340 1.900E-4 1.310074054E+00 1.310525839E+00
2.154000E+12 3.162E+16 340 1.900E-4 1.314484731E+00 1.314804455E+00
3.162000E+12 3.162E+16 340 1.900E-4 1.318658584E+00 1.318890119E+00
4.642000E+12 3.162E+16 340 1.900E-4 1.322735821E+00 1.322909417E+00
6.813000E+12 3.162E+16 340 1.900E-4 1.326552444E+00 1.326687624E+00
1.000000E+13 3.162E+16 340 1.900E-4 1.330210258E+00 1.330317636E+00
