fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
UDT0 8:42 295.7 39.21 1.000E+000 2.761E+000 6.824E-011 2.394E+003 3.302E+000 1.821E-005 1.150E-003 
UDT1 8:46 295.9 39.18 1.000E+000 2.784E+000 7.230E-011 2.389E+003 3.294E+000 1.822E-005 1.380E-003 
UDT2 8:48 296.1 39.16 1.000E+000 2.785E+000 7.463E-011 2.385E+003 3.310E+000 1.867E-005 1.526E-003 
UDT3 8:51 296.1 39.16 1.000E+000 2.758E+000 7.312E-011 2.385E+003 3.296E+000 1.850E-005 2.753E-003 
UDT4 8:53 296.2 39.14 1.000E+000 2.824E+000 7.896E-011 2.383E+003 3.332E+000 1.946E-005 1.070E-003 
UDT5 8:56 296.3 39.13 1.000E+000 2.870E+000 8.423E-011 2.381E+003 3.342E+000 1.969E-005 1.663E-003 
UDT6 8:58 296.4 39.12 1.000E+000 2.779E+000 7.970E-011 2.378E+003 3.307E+000 1.906E-005 1.094E-003 
UDT7 9:3 296.5 39.1 1.000E+000 2.832E+000 8.329E-011 2.376E+003 3.312E+000 1.926E-005 1.082E-003 
UDT8 9:5 296.5 39.1 1.000E+000 2.817E+000 8.270E-011 2.376E+003 3.320E+000 1.949E-005 1.200E-003 
UDT9 9:8 296.5 39.1 1.000E+000 2.976E+000 9.049E-011 2.376E+003 3.333E+000 1.983E-005 1.326E-003 
