N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.202430046E+00 1.195772490E+00 1.189637198E+00 1.184132365E+00
1.016672606E+01 1.211998302E+00 1.205421239E+00 1.199371755E+00 1.193996398E+00
1.033324570E+01 1.219207271E+00 1.212771282E+00 1.206885652E+00 1.201724182E+00
1.049996187E+01 1.224615345E+00 1.218387841E+00 1.212750933E+00 1.207894603E+00
1.066670514E+01 1.228741594E+00 1.222807412E+00 1.217519180E+00 1.213072093E+00
1.083333839E+01 1.232034526E+00 1.226500407E+00 1.221676858E+00 1.217752007E+00
1.100000000E+01 1.234869652E+00 1.229861091E+00 1.225624930E+00 1.222329115E+00
1.116672606E+01 1.237555094E+00 1.233203407E+00 1.229663316E+00 1.227070662E+00
1.133324570E+01 1.240333681E+00 1.236750848E+00 1.233970854E+00 1.232093419E+00
1.149996187E+01 1.243374962E+00 1.240619843E+00 1.238589856E+00 1.237360561E+00
1.166670514E+01 1.246760429E+00 1.244809007E+00 1.243434346E+00 1.242717876E+00
1.183333839E+01 1.250474272E+00 1.249213231E+00 1.248335809E+00 1.247967322E+00
1.200000000E+01 1.254416833E+00 1.253671164E+00 1.253115513E+00 1.252946196E+00
1.216672606E+01 1.258446544E+00 1.258029808E+00 1.257648241E+00 1.257573637E+00
1.233324570E+01 1.262434672E+00 1.262194352E+00 1.261889291E+00 1.261851683E+00
1.249996187E+01 1.266305494E+00 1.266142881E+00 1.265863502E+00 1.265838013E+00
1.266670514E+01 1.270046411E+00 1.269910819E+00 1.269636616E+00 1.269615093E+00
1.283333839E+01 1.273693151E+00 1.273564385E+00 1.273289253E+00 1.273269782E+00
1.300000000E+01 1.277306583E+00 1.277178662E+00 1.276901477E+00 1.276922110E+00
