T file kT1 Voc Jsc FF eta Vmpp Jmpp
280 1_280 41.408 5.998E-1 1.806E+2 8.330E-1 3.274E-1 5.234E-1 1.724E+2 
285 2_285 40.681 5.886E-1 1.805E+2 8.286E-1 3.195E-1 5.118E-1 1.720E+2 
290 3_290 39.98 5.773E-1 1.805E+2 8.241E-1 3.116E-1 5.002E-1 1.716E+2 
295 4_295 39.302 5.661E-1 1.804E+2 8.195E-1 3.037E-1 4.886E-1 1.713E+2 
300 5_300 38.647 5.548E-1 1.804E+2 8.147E-1 2.958E-1 4.771E-1 1.709E+2 
305 6_305 38.014 5.434E-1 1.803E+2 8.097E-1 2.879E-1 4.655E-1 1.705E+2 
310 7_310 37.401 5.321E-1 1.803E+2 8.046E-1 2.801E-1 4.539E-1 1.700E+2 
315 8_315 36.807 5.207E-1 1.802E+2 7.994E-1 2.723E-1 4.424E-1 1.696E+2 
320 9_320 36.232 5.093E-1 1.802E+2 7.940E-1 2.644E-1 4.308E-1 1.691E+2 
325 10_325 35.674 4.978E-1 1.801E+2 7.886E-1 2.566E-1 4.193E-1 1.687E+2 
330 11_330 35.134 4.863E-1 1.801E+2 7.829E-1 2.489E-1 4.078E-1 1.682E+2 
335 12_335 34.61 4.748E-1 1.801E+2 7.770E-1 2.411E-1 3.963E-1 1.676E+2 
340 13_340 34.101 4.633E-1 1.800E+2 7.709E-1 2.333E-1 3.848E-1 1.671E+2 
