T file kT1 TDD TDD
340 001_340 34.101 1.000000E+10 0.000000E+0
340 002_340 34.101 1.468000E+10 0.000000E+0
340 003_340 34.101 2.154000E+10 0.000000E+0
340 004_340 34.101 3.162000E+10 0.000000E+0
340 005_340 34.101 4.642000E+10 0.000000E+0
340 006_340 34.101 6.813000E+10 0.000000E+0
340 007_340 34.101 1.000000E+11 0.000000E+0
340 008_340 34.101 1.468000E+11 0.000000E+0
340 009_340 34.101 2.154000E+11 0.000000E+0
340 010_340 34.101 3.162000E+11 0.000000E+0
340 011_340 34.101 4.642000E+11 0.000000E+0
340 012_340 34.101 6.813000E+11 0.000000E+0
340 013_340 34.101 1.000000E+12 0.000000E+0
340 014_340 34.101 1.468000E+12 0.000000E+0
340 015_340 34.101 2.154000E+12 0.000000E+0
340 016_340 34.101 3.162000E+12 0.000000E+0
340 017_340 34.101 4.642000E+12 0.000000E+0
340 018_340 34.101 6.813000E+12 0.000000E+0
340 019_340 34.101 1.000000E+13 0.000000E+0
340 020_340 34.101 1.468000E+13 0.000000E+0
340 021_340 34.101 2.154000E+13 0.000000E+0
340 022_340 34.101 3.162000E+13 0.000000E+0
340 023_340 34.101 4.642000E+13 0.000000E+0
