Method Finner Holm Hochberg Holland
NNA 2.309263891E-13 2.309263891E-13 2.309263891E-13 2.309263891E-13
CWOA 1.651123682E-12 3.048228336E-12 3.048228336E-12 3.048228336E-12
PSO 4.537703546E-12 1.151878593E-11 1.151878593E-11 1.151878593E-11
ISCA 4.611239168E-11 1.418842821E-10 1.418842821E-10 1.418842821E-10
WW 4.926860696E-10 1.705451780E-09 1.705451780E-09 1.705451778E-09
GOTLBO 1.732816725E-05 6.398122372E-05 6.398122372E-05 6.397943280E-05
MABC 1.412550755E-03 5.325966519E-03 5.325966519E-03 5.313825101E-03
DE 1.456273301E-01 5.538690494E-01 5.538690494E-01 4.407307063E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
