Method Finner Holm Hochberg Holland
MABC 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
GOTLBO 1.352783282E-10 5.098952371E-10 5.098952371E-10 5.098952371E-10
DE 1.749496880E-09 6.459680790E-09 6.459680790E-09 6.459680773E-09
IJAYA 3.632992966E-09 1.257574489E-08 1.257574489E-08 1.257574483E-08
NDE 2.693725860E-03 8.290966265E-03 8.290966265E-03 8.265224321E-03
EBLSHADE 3.108069218E-02 7.908806414E-02 7.908806414E-02 7.702141202E-02
ADELI 3.645219452E-01 6.839370465E-01 3.456002678E-01 5.669945756E-01
TLBO 3.645219452E-01 6.839370465E-01 3.456002678E-01 5.669945756E-01
