Method Finner Holm Hochberg Holland
DE 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
MABC 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
IJAYA 5.866540587E-11 2.166107294E-10 2.166107294E-10 2.166107294E-10
GOTLBO 7.864839644E-11 2.722444492E-10 2.722444492E-10 2.722444492E-10
NDE 4.297874563E-02 1.329099435E-01 1.329099435E-01 1.264310710E-01
EBLSHADE 2.362212174E-01 6.116727674E-01 6.116727674E-01 4.954342958E-01
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
