Method Finner Holm Hochberg Holland
PSO 7.498434461E-01 1.000000000E+00 1.000000000E+00 7.498434461E-01
ISCA 7.498434461E-01 1.000000000E+00 1.000000000E+00 9.842442004E-01
NNA 7.498434461E-01 1.000000000E+00 1.000000000E+00 9.375385381E-01
CWOA 7.498434461E-01 1.000000000E+00 1.000000000E+00 8.866602170E-01
WW 7.901386989E-01 1.000000000E+00 1.000000000E+00 9.955038293E-01
GOTLBO 9.924585419E-01 1.000000000E+00 1.000000000E+00 9.999999854E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
