Method Finner Holm Hochberg Holland
PSO 6.159791754E-06 6.159809267E-06 6.159809267E-06 6.159791754E-06
CWOA 1.125423386E-05 2.077714605E-05 2.077714605E-05 2.077694819E-05
NNA 1.694237335E-05 4.300784337E-05 4.300784337E-05 4.300700262E-05
ISCA 4.386631927E-05 1.349753396E-04 1.349753396E-04 1.349671417E-04
WW 8.640721495E-05 2.991098505E-04 2.991098505E-04 2.990700906E-04
GOTLBO 9.041010224E-04 3.339032098E-03 3.339032098E-03 3.334158421E-03
MABC 1.264347175E-03 4.767007608E-03 4.767007608E-03 4.757279642E-03
DE 5.391360513E-03 1.992725254E-02 1.992725254E-02 1.976252699E-02
IJAYA 3.279926714E-02 1.141171810E-01 1.141171810E-01 1.090256275E-01
NDE 2.728411556E-01 8.694475517E-01 8.694475517E-01 6.248162917E-01
EBLSHADE 5.617084473E-01 1.000000000E+00 1.000000000E+00 8.767946948E-01
STLBO 9.656927314E-01 1.000000000E+00 1.000000000E+00 9.980225865E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
