Method Finner Holm Hochberg Holland
WW 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
MABC 2.684519274E-13 4.956035582E-13 4.956035582E-13 4.956035582E-13
GOTLBO 1.682087062E-10 4.269913312E-10 4.269913312E-10 4.269913311E-10
DE 6.521498340E-10 2.006614874E-09 1.862578092E-09 2.006614872E-09
ISCA 6.521498340E-10 2.006614874E-09 1.862578092E-09 2.006614872E-09
PSO 1.138251567E-09 4.202775017E-09 4.202775017E-09 4.202775009E-09
CWOA 1.535955743E-09 5.789371649E-09 5.789371649E-09 5.789371634E-09
NNA 3.014063136E-09 1.112884851E-08 1.112884851E-08 1.112884846E-08
IJAYA 4.009758668E-06 1.387994241E-05 1.387994241E-05 1.387986535E-05
NDE 1.440503229E-01 4.510727792E-01 4.510727792E-01 3.803472128E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
