Method Finner Holm Hochberg Holland
MABC 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
IJAYA 6.977440869E-12 2.415267986E-11 2.415267986E-11 2.415267986E-11
DE 4.818279109E-11 1.779056902E-10 1.445004116E-10 1.779056902E-10
GOTLBO 4.818279109E-11 1.779056902E-10 1.445004116E-10 1.779056902E-10
WW 4.818279109E-11 1.779056902E-10 1.445004116E-10 1.779056902E-10
NNA 5.411631635E-11 1.873257105E-10 1.873257105E-10 1.873257105E-10
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
