Method Finner Holm Hochberg Holland
PSO 1.645542230E-04 1.645667219E-04 1.645667219E-04 1.645542230E-04
CWOA 2.551767666E-04 4.711464363E-04 4.711464363E-04 4.710447093E-04
NNA 3.451574610E-04 8.762852772E-04 8.762852772E-04 8.759363261E-04
ISCA 7.543396784E-04 2.321651488E-03 2.321651488E-03 2.319227459E-03
WW 1.306168729E-03 4.523171696E-03 4.523171696E-03 4.514089426E-03
GOTLBO 9.210131444E-03 3.409136439E-02 3.409136439E-02 3.358720326E-02
MABC 1.185835803E-02 4.481991481E-02 4.481991481E-02 4.396811859E-02
DE 3.786579183E-02 1.408484552E-01 1.408484552E-01 1.328367112E-01
IJAYA 1.526545713E-01 5.417365468E-01 5.417365468E-01 4.363900881E-01
NDE 6.697394505E-01 1.000000000E+00 1.000000000E+00 9.669204895E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
