Method Finner Holm Hochberg Holland
GOTLBO 1.300018036E-14 1.300000000E-14 1.200000000E-14 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 1.200000000E-14 1.300018036E-14
MABC 2.501702730E-13 6.350475701E-13 6.350475701E-13 6.350475701E-13
NNA 1.124986770E-10 3.461497755E-10 3.311551033E-10 3.461497755E-10
WW 1.124986770E-10 3.461497755E-10 3.311551033E-10 3.461497755E-10
ISCA 1.893120105E-10 6.989981927E-10 6.385207918E-10 6.989981924E-10
CWOA 1.893120105E-10 6.989981927E-10 6.385207918E-10 6.989981924E-10
DE 6.444118525E-02 2.409765449E-01 2.409765449E-01 2.180381209E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
