Method Finner Holm Hochberg Holland
PSO 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
NNA 5.340172748E-14 1.643130076E-13 1.643130076E-13 1.643130076E-13
WW 1.154631946E-13 3.996802889E-13 3.996802889E-13 3.996802889E-13
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
