Method Finner Holm Hochberg Holland
PSO 8.403014322E-01 1.000000000E+00 1.000000000E+00 8.403014322E-01
ISCA 8.403014322E-01 1.000000000E+00 1.000000000E+00 9.949307962E-01
NNA 8.403014322E-01 1.000000000E+00 1.000000000E+00 9.717446485E-01
CWOA 8.403014322E-01 1.000000000E+00 1.000000000E+00 9.408816764E-01
WW 8.629923791E-01 1.000000000E+00 1.000000000E+00 9.989724365E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
