Method Finner Holm Hochberg Holland
PSO 4.329869796E-13 4.329869796E-13 4.329869796E-13 4.329869796E-13
ISCA 1.329598855E-02 2.468566026E-02 2.468566026E-02 2.440826662E-02
CWOA 1.659480946E-02 4.239681717E-02 4.239681717E-02 4.158915103E-02
WW 9.989547495E-01 1.000000000E+00 1.000000000E+00 9.999999993E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
GOTLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
