Method Finner Holm Hochberg Holland
PSO 8.229378782E-06 8.229410038E-06 8.229410038E-06 8.229378782E-06
CWOA 1.483110922E-05 2.738068114E-05 2.738068114E-05 2.738033753E-05
NNA 2.212844996E-05 5.617269722E-05 5.617269722E-05 5.617126298E-05
ISCA 5.648862875E-05 1.738145641E-04 1.738145641E-04 1.738009696E-04
WW 1.100783709E-04 3.810534213E-04 3.810534213E-04 3.809888936E-04
GOTLBO 1.114452021E-03 4.116135129E-03 4.116135129E-03 4.108730378E-03
MABC 1.547759608E-03 5.835948424E-03 5.835948424E-03 5.821372277E-03
DE 6.442572135E-03 2.381751886E-02 2.381751886E-02 2.358240192E-02
IJAYA 3.787566468E-02 1.318849359E-01 1.318849359E-01 1.251085905E-01
NDE 2.987137100E-01 9.554861660E-01 9.554861660E-01 6.643923577E-01
EBLSHADE 5.991200466E-01 1.000000000E+00 1.000000000E+00 9.017647920E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
