Method Finner Holm Hochberg Holland
MABC 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
IJAYA 2.639159507E-14 9.947598301E-14 9.947598301E-14 9.947598301E-14
GOTLBO 5.525491176E-11 2.040181357E-10 2.040181357E-10 2.040181357E-10
DE 1.867328513E-09 6.463829472E-09 6.463829472E-09 6.463829455E-09
NDE 4.745868047E-01 1.000000000E+00 1.000000000E+00 8.619606195E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
