Method Finner Holm Hochberg Holland
DE 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
MABC 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 7.000000000E-15 1.300018036E-14
IJAYA 6.086642301E-11 2.247375619E-10 2.247375619E-10 2.247375619E-10
GOTLBO 7.883570337E-11 2.728928195E-10 2.728928195E-10 2.728928195E-10
NDE 4.222629828E-02 1.305713428E-01 1.305713428E-01 1.243160100E-01
EBLSHADE 2.333576603E-01 6.040982263E-01 6.040982263E-01 4.906183886E-01
ADELI 9.963048593E-01 1.000000000E+00 1.000000000E+00 9.999676799E-01
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
