Method Finner Holm Hochberg Holland
GOTLBO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 1.000000000E-14 1.300018036E-14
DE 2.320810102E-13 8.033573806E-13 8.033573806E-13 8.033573806E-13
IJAYA 2.176452352E-10 8.036131760E-10 8.036131760E-10 8.036131757E-10
MABC 1.756083849E-09 6.619085280E-09 6.619085280E-09 6.619085261E-09
WW 7.446346251E-09 2.749420158E-08 2.749420158E-08 2.749420127E-08
ISCA 1.323249838E-08 4.580480217E-08 4.580480217E-08 4.580480133E-08
NDE 9.576979750E-04 2.947088756E-03 2.947088756E-03 2.943833356E-03
EBLSHADE 8.628419159E-02 2.205334674E-01 2.205334674E-01 2.047190435E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
