Method Finner Holm Hochberg Holland
NNA 1.841920264E-04 1.842076867E-04 1.842076867E-04 1.841920264E-04
CWOA 4.688259035E-04 8.656964707E-04 8.656964707E-04 8.653530644E-04
PSO 6.954096375E-04 1.765742961E-03 1.765742961E-03 1.764326439E-03
ISCA 2.171680990E-03 6.687124686E-03 6.687124686E-03 6.667037591E-03
WW 6.727822958E-03 2.333700310E-02 2.333700310E-02 2.309641049E-02
GOTLBO 4.972464683E-01 1.000000000E+00 1.000000000E+00 9.210574321E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
