Method Finner Holm Hochberg Holland
PSO 1.856371834E-03 1.857964245E-03 1.857964245E-03 1.856371834E-03
CWOA 2.511639333E-03 4.641807463E-03 4.641807463E-03 4.631944762E-03
NNA 3.108285895E-03 7.899714290E-03 7.899714290E-03 7.871409187E-03
ISCA 5.899404097E-03 1.818920471E-02 1.818920471E-02 1.804104333E-02
WW 9.176971204E-03 3.185658307E-02 3.185658307E-02 3.140924772E-02
GOTLBO 4.645945033E-02 1.737409752E-01 1.737409752E-01 1.610929486E-01
MABC 5.590042984E-02 2.134963639E-01 2.134963639E-01 1.949250334E-01
DE 1.399640738E-01 5.316819100E-01 5.316819100E-01 4.269201824E-01
IJAYA 3.989639276E-01 1.000000000E+00 1.000000000E+00 8.283452965E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
