Method Finner Holm Hochberg Holland
ISCA 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 1.100000000E-14 1.300018036E-14
PSO 9.165901371E-11 2.820277345E-10 2.820277345E-10 2.820277345E-10
NNA 2.164622325E-08 7.492923482E-08 7.492923482E-08 7.492923232E-08
GOTLBO 2.831140438E-07 1.045344241E-06 1.045344241E-06 1.045343763E-06
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
