Method Finner Holm Hochberg Holland
NNA 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
GOTLBO 3.002043059E-13 5.542233339E-13 5.542233339E-13 5.542233339E-13
MABC 4.613139499E-10 1.171027719E-09 1.171027719E-09 1.171027719E-09
WW 6.258999983E-10 1.925846149E-09 1.925846149E-09 1.925846147E-09
ISCA 2.743251357E-09 9.495870090E-09 9.495870090E-09 9.495870050E-09
PSO 9.704170553E-09 3.583078367E-08 3.583078367E-08 3.583078311E-08
CWOA 1.668878987E-08 6.290390053E-08 6.290390053E-08 6.290389884E-08
DE 2.789791585E-06 1.030077445E-05 1.030077445E-05 1.030073024E-05
IJAYA 2.785918516E-03 9.647702379E-03 9.647702379E-03 9.610542884E-03
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
