V d42 V1 d61a d61c d64a d64b
-1.200000e+00 7.141201e+03 -1.200000e+00 1.829403e+04 6.345847e+03 5.873900e+03 4.902812e+03
-1.100000e+00 7.312172e+03 -1.000000e+00 1.947770e+04 7.550938e+03 7.061244e+03 5.901994e+03
-1.000000e+00 7.667209e+03 -8.000000e-01 2.150564e+04 9.295798e+03 8.792778e+03 7.817246e+03
-9.000000e-01 8.170290e+03 -6.000000e-01 2.456078e+04 1.210442e+04 1.138559e+04 1.111447e+04
-8.000000e-01 8.565634e+03 -4.000000e-01 3.092716e+04 1.658636e+04 1.615713e+04 1.766472e+04
-7.000000e-01 9.101105e+03 -2.000000e-01 3.948274e+04 2.444747e+04 3.578705e+04 3.025757e+04
-6.000000e-01 9.520012e+03 0.000000e+00 3.647292e+04 3.103703e+04 4.802943e+04 4.046999e+04
-5.000000e-01 9.697746e+03 2.000000e-01 3.128910e+03 4.176712e+03 1.442633e+03 6.080547e+03
-4.000000e-01 9.950308e+03 4.000000e-01 1.923583e+02 2.422211e+02 1.098970e+02 1.075514e+03
-3.000000e-01 1.008471e+04 NaN NaN NaN NaN NaN
-2.000000e-01 1.008722e+04 NaN NaN NaN NaN NaN
-1.000000e-01 9.805894e+03 NaN NaN NaN NaN NaN
0.000000e+00 8.250624e+03 NaN NaN NaN NaN NaN
1.000000e-01 4.294810e+03 NaN NaN NaN NaN NaN
2.000000e-01 1.418683e+03 NaN NaN NaN NaN NaN
3.000000e-01 4.220845e+02 NaN NaN NaN NaN NaN
