V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 3.142663e+03 1.965387e+03 -1.200000e+00 9.805937e+03 4.008087e+02 1.085169e+04 6.081186e+02 1.800615e+04 1.245782e+05 2.091338e+05 1.509322e+04 4.799196e+03 3.632632e+04 7.035449e+03 8.536219e+03
-1.100000e+00 3.209660e+03 2.021543e+03 -1.000000e+00 1.127950e+04 6.087439e+02 6.000725e+03 4.380509e+02 1.951660e+04 1.538379e+05 1.867315e+05 1.787345e+04 5.789389e+03 3.944179e+04 8.556371e+03 9.002878e+03
-1.000000e+00 3.596851e+03 2.070454e+03 -8.000000e-01 7.465407e+03 9.968907e+02 5.672417e+03 2.944306e+02 2.421508e+04 1.849511e+05 2.039169e+05 2.090809e+04 7.205145e+03 4.185795e+04 1.155474e+04 9.418265e+03
-9.000000e-01 3.998027e+03 2.121157e+03 -6.000000e-01 1.852666e+04 1.438971e+03 7.657260e+03 1.642797e+03 2.955123e+04 1.972863e+05 2.127971e+05 2.427810e+04 8.458232e+03 4.578945e+04 1.534617e+04 1.012700e+04
-8.000000e-01 4.367158e+03 2.154408e+03 -4.000000e-01 5.650442e+02 3.704244e+03 1.133570e+04 2.057443e+03 3.283688e+04 2.136324e+05 2.035844e+05 2.837340e+04 1.105554e+04 5.040697e+04 2.014731e+04 1.047600e+04
-7.000000e-01 4.261906e+02 2.221401e+03 -2.000000e-01 7.658929e+03 8.026428e+03 2.062178e+04 1.415337e+01 3.350201e+04 2.445973e+05 1.634615e+05 3.159975e+04 1.313211e+04 5.235978e+04 1.318624e+04 9.661230e+03
-6.000000e-01 2.315778e+02 2.295751e+03 0.000000e+00 1.063292e+04 3.051135e+03 2.373330e+04 7.080022e+01 2.269158e+04 1.418986e+05 6.305211e+04 2.166359e+04 8.920218e+03 3.722822e+04 7.651570e+03 3.301498e+03
-5.000000e-01 5.632485e+02 2.384383e+03 2.000000e-01 3.175379e+02 1.465781e+02 7.390916e+02 2.499596e+01 2.598623e+03 1.060234e+04 4.879338e+02 2.777797e+03 1.923611e+02 4.233703e+03 6.334633e+02 4.109081e+01
-4.000000e-01 8.232236e+02 2.467833e+03 4.000000e-01 1.672255e+01 1.763683e+01 7.959546e+00 4.318318e+01 8.736478e+00 3.635621e+01 1.352330e+00 8.317732e+00 1.961076e+01 1.268451e+02 7.108061e+01 1.701179e+01
-3.000000e-01 9.605823e+02 2.559572e+03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.624280e+03 2.674152e+03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 2.380881e+03 2.768934e+03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.992068e+03 2.556608e+03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 4.659831e+02 1.446532e+03 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 4.449660e+01 4.379165e+02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 9.494855e+00 9.881394e+01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
