V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 2.620104e+04 1.429228e+03 -1.200000e+00 2.882040e+03 8.361838e+02 6.155377e+02 3.306949e+02 3.045033e+04 2.361488e+04 9.893193e+03
-1.100000e+00 2.300407e+04 1.562165e+03 -1.000000e+00 3.362481e+03 1.107233e+03 8.235330e+02 4.134260e+02 3.418850e+04 3.002012e+04 1.338512e+04
-1.000000e+00 2.571596e+04 1.665040e+03 -8.000000e-01 3.843826e+03 8.175958e+02 1.222078e+03 3.399976e+02 3.790765e+04 4.073466e+04 1.950666e+04
-9.000000e-01 2.708664e+04 1.797940e+03 -6.000000e-01 4.112568e+03 4.336714e+02 2.017337e+03 1.445525e+02 4.293909e+04 5.409752e+04 3.082305e+04
-8.000000e-01 2.760007e+04 1.949431e+03 -4.000000e-01 4.112858e+03 2.751353e+02 3.703284e+03 3.364743e+01 4.398726e+04 7.605267e+04 4.992224e+04
-7.000000e-01 2.879970e+04 2.131964e+03 -2.000000e-01 3.278852e+03 2.574320e+02 8.301081e+03 7.565393e+00 3.793361e+04 9.453974e+04 4.258166e+04
-6.000000e-01 3.006235e+04 2.358975e+03 0.000000e+00 1.108188e+03 3.304984e+02 1.300253e+04 2.019269e+01 1.125178e+04 7.182368e+04 3.260901e+04
-5.000000e-01 2.967987e+04 2.673033e+03 2.000000e-01 2.912622e+01 3.773478e+00 6.515838e+01 3.543171e+01 1.034615e+02 8.066165e+03 5.335771e+02
-4.000000e-01 2.827336e+04 3.063936e+03 4.000000e-01 1.849258e+00 4.217338e+00 3.532340e+01 5.627077e+01 2.197605e+01 5.343257e+02 3.513839e+01
-3.000000e-01 2.248019e+04 3.532289e+03 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.529343e+04 4.141229e+03 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 9.283982e+03 4.746577e+03 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.654423e+03 4.697785e+03 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 7.587551e+01 3.218785e+03 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 2.626860e+01 1.232541e+03 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 8.748212e+01 2.669163e+02 NaN NaN NaN NaN NaN NaN NaN NaN
