V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 5.183985e+03 -1.200000e+00 2.727882e+03 -1.200000e+00 3.401081e+04 4.769168e+04 2.355689e+04 1.879061e+04 1.217124e+04 2.501289e+03
-2.000000e-01 1.232065e+02 -1.100000e+00 3.136694e+03 -1.000000e+00 3.997443e+04 5.573519e+04 2.434450e+04 2.305756e+04 1.171198e+04 2.406787e+03
0.000000e+00 3.297017e+02 -9.000000e-01 4.029766e+03 -8.000000e-01 4.721565e+04 6.944146e+04 2.899223e+04 2.987915e+04 1.122853e+04 2.396370e+03
1.000000e-01 1.604115e+02 -8.000000e-01 4.623803e+03 -6.000000e-01 5.990306e+04 9.537041e+04 3.549371e+04 4.269372e+04 1.031821e+04 2.468919e+03
2.000000e-01 9.344421e+01 -7.000000e-01 5.342394e+03 -4.000000e-01 7.863776e+04 1.284828e+05 4.615116e+04 6.258010e+04 9.114454e+03 2.649326e+03
NaN NaN -6.000000e-01 6.184839e+03 -2.000000e-01 1.039577e+05 1.330048e+05 5.894536e+04 8.117334e+04 7.262748e+03 3.123636e+03
NaN NaN -5.000000e-01 7.491593e+03 0.000000e+00 9.450319e+04 5.193961e+04 1.484291e+04 5.494677e+04 4.123505e+03 3.220228e+03
NaN NaN -4.000000e-01 9.069297e+03 2.000000e-01 7.074016e+03 2.424687e+03 3.377607e+01 3.316505e+03 7.061388e+01 2.063712e+03
NaN NaN -3.000000e-01 1.123046e+04 4.000000e-01 4.247491e+02 3.014212e+02 2.983625e+00 2.032933e+02 1.422531e+01 3.359208e+02
NaN NaN -2.000000e-01 1.398740e+04 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 1.707053e+04 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 1.565199e+04 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 7.073921e+03 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 2.233259e+03 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 6.928599e+02 NaN NaN NaN NaN NaN NaN NaN
