T nFsrh nFBsrh dnsrh nF nFB dn
290 1.213001218E+00 1.15138686E+00 6.161435800E-02 1.212987641E+00 1.15161145E+00 6.137619100E-02
295 1.202433964E+00 1.156158662E+00 4.627530200E-02 1.200812729E+00 1.156146984E+00 4.466574500E-02
300 1.207322550E+00 1.164153625E+00 4.316892500E-02 1.207302698E+00 1.164137692E+00 4.316500600E-02
305 1.213319389E+00 1.172083226E+00 4.123616300E-02 1.212023420E+00 1.172062202E+00 3.996121800E-02
310 1.214091414E+00 1.179819366E+00 3.427204800E-02 1.213884634E+00 1.179792058E+00 3.409257600E-02
315 1.222597842E+00 1.180739235E+00 4.185860700E-02 1.222444436E+00 1.180459599E+00 4.198483700E-02
320 1.226697320E+00 1.184701414E+00 4.199590600E-02 1.225833921E+00 1.184660457E+00 4.117346400E-02
325 1.229101325E+00 1.192445588E+00 3.665573700E-02 1.228886758E+00 1.192395114E+00 3.649164400E-02
330 1.231941818E+00 1.198500547E+00 3.344127100E-02 1.231876296E+00 1.198348099E+00 3.352819700E-02
335 1.237634374E+00 1.201063521E+00 3.657085300E-02 1.237068659E+00 1.200991655E+00 3.607700400E-02
340 1.242447459E+00 1.205276294E+00 3.717116500E-02 1.242357162E+00 1.205203048E+00 3.715411400E-02
