Isc(A) T(K) L(mkm)
2.67663E-1 313 2.80E-5
1.77855E-1 313 1.60E-5
5.74508E-1 302 1.73E-4
6.39183E-1 328 2.56E-4
5.97230E-1 304 2.02E-4
5.06579E-1 294 1.17E-4
5.88953E-1 303 1.92E-4
4.69142E-1 326 7.80E-5
4.87991E-1 306 9.70E-5
6.17113E-1 337 1.98E-4
5.19643E-1 320 1.08E-4
5.78757E-1 326 1.55E-4
4.41058E-1 328 6.60E-5
6.23693E-1 335 2.12E-4
3.76333E-1 310 5.20E-5
4.55564E-1 331 7.00E-5
5.72400E-1 293 1.80E-4
3.22614E-1 339 3.30E-5
4.67804E-1 323 7.80E-5
5.28153E-1 294 1.34E-4
4.02548E-1 297 6.40E-5
1.10449E-1 333 8.00E-6
6.14963E-1 304 2.36E-4
3.16457E-1 314 3.70E-5
6.26867E-1 335 2.19E-4
5.93874E-1 294 2.10E-4
3.91593E-1 312 5.50E-5
2.13094E-1 293 2.30E-5
5.57125E-1 337 1.25E-4
5.45434E-1 299 1.44E-4
5.37072E-1 310 1.28E-4
5.77187E-1 313 1.65E-4
6.10493E-1 330 1.95E-4
5.01842E-1 314 1.00E-4
5.69843E-1 311 1.59E-4
5.09184E-1 318 1.03E-4
5.97574E-1 301 2.07E-4
1.47701E-1 334 1.10E-5
6.31383E-1 298 2.84E-4
5.48072E-1 328 1.24E-4
5.03230E-1 293 1.15E-4
6.22376E-1 304 2.50E-4
3.52119E-1 305 4.70E-5
3.71010E-1 301 5.30E-5
6.35161E-1 303 2.86E-4
6.36816E-1 338 2.36E-4
3.74970E-1 315 5.00E-5
4.71083E-1 328 7.70E-5
6.31437E-1 298 2.84E-4
5.71097E-1 324 1.48E-4
4.70184E-1 323 7.90E-5
6.39975E-1 326 2.61E-4
2.91649E-1 303 3.40E-5
5.77732E-1 320 1.59E-4
6.07959E-1 318 2.04E-4
6.17130E-1 314 2.25E-4
5.05226E-1 301 1.11E-4
5.17098E-1 295 1.24E-4
5.36891E-1 323 1.18E-4
6.05451E-1 337 1.80E-4
6.29579E-1 294 2.85E-4
2.46033E-1 305 2.60E-5
6.37245E-1 311 2.78E-4
3.68889E-1 324 4.60E-5
5.82159E-1 337 1.49E-4
6.44717E-1 312 2.97E-4
5.10157E-1 325 9.90E-5
6.04349E-1 293 2.30E-4
4.22892E-1 333 5.80E-5
6.08122E-1 297 2.32E-4
1.94210E-1 326 1.60E-5
5.83722E-1 293 1.95E-4
1.95584E-1 295 2.00E-5
5.16883E-1 303 1.17E-4
1.49846E-1 295 1.40E-5
5.86726E-1 335 1.56E-4
4.83495E-1 325 8.50E-5
6.49040E-1 335 2.73E-4
6.23681E-1 311 2.44E-4
6.41001E-1 318 2.77E-4
5.65505E-1 305 1.59E-4
6.46033E-1 335 2.64E-4
6.07743E-1 333 1.87E-4
3.70384E-1 340 4.20E-5
5.43362E-1 310 1.33E-4
3.68760E-1 307 5.10E-5
5.94261E-1 311 1.90E-4
5.59374E-1 308 1.50E-4
2.93677E-1 326 3.00E-5
5.40293E-1 327 1.18E-4
4.37670E-1 302 7.50E-5
5.73497E-1 330 1.46E-4
5.66921E-1 297 1.69E-4
8.17685E-2 302 7.00E-6
5.30153E-1 306 1.25E-4
3.93568E-1 302 6.00E-5
5.91298E-1 325 1.71E-4
6.25583E-1 308 2.52E-4
2.27528E-1 318 2.10E-5
5.72832E-1 335 1.41E-4
3.33214E-1 296 4.50E-5
4.45003E-1 328 6.70E-5
5.59051E-1 293 1.64E-4
5.91954E-1 323 1.74E-4
5.19482E-1 314 1.12E-4
6.11438E-1 325 2.01E-4
4.11627E-1 330 5.60E-5
5.34672E-1 300 1.34E-4
4.21106E-1 305 6.80E-5
4.36536E-1 313 7.00E-5
6.30412E-1 319 2.47E-4
5.15131E-1 290 1.26E-4
5.52631E-1 335 1.22E-4
4.10960E-1 306 6.40E-5
5.76022E-1 306 1.71E-4
5.87924E-1 295 1.99E-4
4.77409E-1 294 9.90E-5
5.99402E-1 321 1.86E-4
5.36998E-1 320 1.21E-4
2.58254E-1 327 2.50E-5
1.85775E-1 294 1.90E-5
3.43706E-1 315 4.20E-5
1.20726E-1 318 9.00E-6
6.20151E-1 324 2.18E-4
5.55778E-1 336 1.24E-4
5.75499E-1 310 1.66E-4
5.94700E-1 299 2.05E-4
6.46694E-1 319 2.91E-4
2.36665E-1 293 2.60E-5
6.39700E-1 315 2.78E-4
2.73213E-1 326 2.70E-5
6.57375E-1 335 3.00E-4
6.11474E-1 298 2.37E-4
4.26268E-1 336 5.80E-5
5.03375E-1 318 9.90E-5
1.95843E-1 329 1.60E-5
5.86967E-1 317 1.73E-4
5.01417E-1 325 9.40E-5
6.41589E-1 310 2.91E-4
2.62389E-1 328 2.50E-5
2.56936E-1 318 2.60E-5
3.43109E-1 320 4.10E-5
3.42867E-1 325 4.00E-5
3.23838E-1 299 4.20E-5
6.39787E-1 319 2.71E-4
6.07941E-1 330 1.90E-4
5.77251E-1 310 1.68E-4
3.82574E-1 316 5.20E-5
2.91986E-1 295 3.60E-5
6.25711E-1 304 2.60E-4
6.31189E-1 294 2.91E-4
5.51187E-1 314 1.37E-4
5.88016E-1 302 1.91E-4
5.02951E-1 293 1.15E-4
4.45247E-1 304 7.70E-5
6.02731E-1 334 1.78E-4
6.40703E-1 319 2.73E-4
4.29396E-1 307 7.00E-5
6.17872E-1 305 2.40E-4
1.59148E-1 311 1.40E-5
5.48021E-1 304 1.43E-4
5.76007E-1 308 1.68E-4
6.32737E-1 296 2.91E-4
3.99585E-1 298 6.30E-5
5.91140E-1 311 1.86E-4
6.03611E-1 292 2.30E-4
5.81617E-1 332 1.53E-4
3.85906E-1 337 4.70E-5
4.33819E-1 333 6.20E-5
3.84836E-1 318 5.20E-5
2.52949E-1 300 2.80E-5
6.23025E-1 314 2.38E-4
5.17917E-1 300 1.20E-4
4.69393E-1 319 8.10E-5
6.41411E-1 325 2.67E-4
6.11330E-1 310 2.20E-4
5.83284E-1 301 1.85E-4
5.90464E-1 315 1.80E-4
5.04339E-1 324 9.60E-5
6.01795E-1 338 1.73E-4
5.38002E-1 315 1.25E-4
3.11688E-1 306 3.80E-5
5.76528E-1 295 1.83E-4
6.39342E-1 327 2.58E-4
5.58182E-1 310 1.47E-4
3.23166E-1 309 3.90E-5
