N_A T tau
1E20 280 5.42966944725887
1E20 285 5.38494987868138
1E20 290 5.37554348778339
1E20 295 5.4056992894456
1E20 300 5.47835958946373
1E20 305 5.59490593087796
1E20 310 5.75463049178095
1E20 315 5.95385413089221
1E20 320 6.18464153331206
1E20 325 6.43313943543552
1E20 330 6.67771826255826
1E20 335 6.88736167760495
1E20 340 7.02112541101712
1E20 345 7.02990123281974
1E20 350 6.86195300852164
1.58489319246111E20 280 3.37440302420352
1.58489319246111E20 285 3.34805651427551
1.58489319246111E20 290 3.34327073855233
1.58489319246111E20 295 3.36269672820468
1.58489319246111E20 300 3.40817006706773
1.58489319246111E20 305 3.48055108070621
1.58489319246111E20 310 3.57939975413608
1.58489319246111E20 315 3.70243817893247
1.58489319246111E20 320 3.84477181437175
1.58489319246111E20 325 3.9978867758288
1.58489319246111E20 330 4.14853225266595
1.58489319246111E20 335 4.27775227403892
1.58489319246111E20 340 4.36055083273375
1.58489319246111E20 345 4.36691774987343
1.58489319246111E20 350 4.26508910691522
2.51188643150958E20 280 2.07957121817273
2.51188643150958E20 285 2.0646942893197
2.51188643150958E20 290 2.06274400938182
2.51188643150958E20 295 2.07536215502822
2.51188643150958E20 300 2.103685441987
2.51188643150958E20 305 2.14824523909862
2.51188643150958E20 310 2.20877044041638
2.51188643150958E20 315 2.28386605120394
2.51188643150958E20 320 2.37055165553176
2.51188643150958E20 325 2.46367124758291
2.51188643150958E20 330 2.5552388043364
2.51188643150958E20 335 2.63387136294073
2.51188643150958E20 340 2.68458387424485
2.51188643150958E20 345 2.6893572928751
2.51188643150958E20 350 2.62898360717793
3.98107170553497E20 280 1.26546049542461
3.98107170553497E20 285 1.25764504747875
3.98107170553497E20 290 1.25737003268155
3.98107170553497E20 295 1.26563938150923
3.98107170553497E20 300 1.28314826628183
3.98107170553497E20 305 1.31022046918321
3.98107170553497E20 310 1.34669134004557
3.98107170553497E20 315 1.39172110541315
3.98107170553497E20 320 1.44353047423155
3.98107170553497E20 325 1.49906615647173
3.98107170553497E20 330 1.5536327984719
3.98107170553497E20 335 1.60057396558725
3.98107170553497E20 340 1.63114839704629
3.98107170553497E20 345 1.63482034405993
3.98107170553497E20 350 1.60023982827808
6.30957344480193E20 280 0.755851741157643
6.30957344480193E20 285 0.752255700989454
6.30957344480193E20 290 0.752884670367597
6.30957344480193E20 295 0.758339456919856
6.30957344480193E20 300 0.769036312105685
