T(K) J0(mAcm-2)
229 2.45450E+8
110 2.77263E+7
218 2.12215E+8
105 2.41271E+7
359 9.17911E+8
212 1.95398E+8
155 7.71227E+7
124 3.96540E+7
139 5.57478E+7
403 1.28393E+9
304 5.64854E+8
151 7.13471E+7
437 1.62242E+9
234 2.61615E+8
393 1.19380E+9
167 9.62775E+7
302 5.54037E+8
117 3.33378E+7
150 6.99492E+7
171 1.03296E+8
222 2.23936E+8
405 1.30246E+9
464 1.92798E+9
451 1.77669E+9
478 2.09973E+9
421 1.45686E+9
172 1.05101E+8
409 1.34003E+9
479 2.11235E+9
443 1.68745E+9
282 4.53171E+8
272 4.07564E+8
481 2.13774E+9
413 1.37828E+9
191 1.43451E+8
130 4.56592E+7
296 5.22395E+8
102 2.21242E+7
159 8.31982E+7
236 2.68271E+8
258 3.48884E+8
485 2.18910E+9
273 4.11984E+8
213 1.98138E+8
372 1.01794E+9
455 1.82241E+9
109 2.69798E+7
164 9.12252E+7
488 2.22812E+9
305 5.70312E+8
197 1.57229E+8
321 6.62339E+8
463 1.91606E+9
429 1.53823E+9
135 5.10996E+7
230 2.48629E+8
498 2.36135E+9
116 3.24939E+7
260 3.56906E+8
458 1.85718E+9
434 1.59052E+9
131 4.67150E+7
283 4.57906E+8
436 1.61174E+9
467 1.96400E+9
216 2.06508E+8
169 9.97460E+7
375 1.04197E+9
208 1.84686E+8
476 2.07463E+9
364 9.55599E+8
351 8.59618E+8
133 4.88748E+7
388 1.15030E+9
200 1.64431E+8
320 6.56326E+8
482 2.15051E+9
265 3.77483E+8
293 5.07023E+8
180 1.20298E+8
404 1.29317E+9
457 1.84554E+9
452 1.78805E+9
456 1.83395E+9
401 1.26557E+9
285 4.67470E+8
226 2.36072E+8
290 4.91947E+8
262 3.65047E+8
210 1.89993E+8
477 2.08715E+9
313 6.15215E+8
366 9.70948E+8
370 1.00212E+9
391 1.17628E+9
394 1.20263E+9
112 2.92600E+7
103 2.27791E+7
307 5.81332E+8
187 1.34722E+8
449 1.75411E+9
480 2.12503E+9
497 2.34781E+9
360 9.25371E+8
237 2.71639E+8
149 6.85696E+7
173 1.06927E+8
277 4.29975E+8
343 8.03759E+8
336 7.56845E+8
268 3.90191E+8
426 1.50738E+9
287 4.77164E+8
465 1.93994E+9
334 7.43773E+8
423 1.47694E+9
295 5.17238E+8
276 4.25430E+8
396 1.22040E+9
348 8.38388E+8
395 1.21149E+9
198 1.59606E+8
422 1.46688E+9
154 7.56509E+7
341 7.90169E+8
418 1.42707E+9
299 5.38066E+8
126 4.15937E+7
454 1.81091E+9
382 1.09945E+9
408 1.33057E+9
137 5.33903E+7
220 2.18024E+8
442 1.67650E+9
332 7.30847E+8
193 1.47952E+8
357 9.03107E+8
100 2.08521E+7
356 8.95763E+8
416 1.40742E+9
410 1.34953E+9
219 2.15107E+8
203 1.71847E+8
160 8.47647E+7
217 2.09349E+8
398 1.23834E+9
179 1.18324E+8
386 1.13319E+9
489 2.24123E+9
412 1.36866E+9
132 4.77869E+7
427 1.51762E+9
113 3.00475E+7
271 4.03174E+8
143 6.06669E+7
374 1.03392E+9
231 2.51835E+8
292 5.01965E+8
158 8.16508E+7
104 2.34467E+7
466 1.95195E+9
459 1.86886E+9
338 7.70064E+8
211 1.92683E+8
227 2.39171E+8
120 3.59561E+7
355 8.88457E+8
301 5.48680E+8
138 5.45607E+7
371 1.01001E+9
462 1.90419E+9
324 6.80593E+8
252 3.25524E+8
256 3.40980E+8
368 9.86454E+8
385 1.12469E+9
414 1.38795E+9
129 4.46192E+7
161 8.63506E+7
352 8.66770E+8
448 1.74288E+9
327 6.99168E+8
406 1.31179E+9
487 2.21507E+9
281 4.48469E+8
484 2.17619E+9
199 1.62007E+8
107 2.55271E+7
470 2.00045E+9
223 2.26931E+8
333 7.37291E+8
318 6.44404E+8
325 6.86749E+8
284 4.62672E+8
317 6.38497E+8
303 5.59429E+8
115 3.16643E+7
157 8.01225E+7
215 2.03693E+8
428 1.52790E+9
392 1.18502E+9
315 6.26786E+8
244 2.95996E+8
206 1.79477E+8
380 1.08283E+9
190 1.41235E+8
346 8.24423E+8
326 6.92941E+8
264 3.73307E+8
123 3.87070E+7
389 1.15892E+9
337 7.63436E+8
270 3.98816E+8
446 1.72058E+9
420 1.44688E+9
207 1.82070E+8
297 5.27585E+8
447 1.73171E+9
266 3.81689E+8
310 5.98119E+8
376 1.05006E+9
475 2.06215E+9
214 2.00903E+8
311 6.03783E+8
242 2.88897E+8
201 1.66879E+8
239 2.78460E+8
176 1.12531E+8
312 6.09482E+8
345 8.17498E+8
495 2.32087E+9
441 1.66560E+9
253 3.29344E+8
373 1.02591E+9
473 2.03733E+9
500 2.38858E+9
259 3.52880E+8
316 6.32624E+8
106 2.48206E+7
349 8.45426E+8
468 1.97611E+9
431 1.55901E+9
424 1.48704E+9
257 3.44917E+8
152 7.27633E+7
291 4.96939E+8
288 4.82059E+8
186 1.32595E+8
469 1.98826E+9
294 5.12114E+8
279 4.39159E+8
491 2.26758E+9
140 5.69519E+7
142 5.94114E+7
347 8.31387E+8
147 6.58643E+7
306 5.75805E+8
181 1.22293E+8
188 1.36870E+8
269 3.94488E+8
182 1.24310E+8
438 1.63315E+9
381 1.09112E+9
144 6.19399E+7
168 9.80017E+7
205 1.76910E+8
248 3.10531E+8
221 2.20967E+8
453 1.79946E+9
425 1.49719E+9
101 2.14819E+7
415 1.39767E+9
329 7.11731E+8
286 4.72301E+8
342 7.96945E+8
322 6.68388E+8
390 1.16758E+9
344 8.10609E+8
134 4.99791E+7
361 9.32869E+8
379 1.07457E+9
450 1.76538E+9
472 2.02499E+9
367 9.78681E+8
335 7.50290E+8
111 2.84863E+7
400 1.25645E+9
490 2.25438E+9
496 2.33431E+9
261 3.60961E+8
417 1.41722E+9
228 2.42297E+8
255 3.37072E+8
314 6.20983E+8
363 9.47984E+8
224 2.29951E+8
114 3.08489E+7
378 1.06636E+9
377 1.05819E+9
384 1.11624E+9
