x y
1.17000E+2 1.16115E+0
2.57000E+2 1.13503E+0
1.27000E+2 1.15983E+0
4.71000E+2 1.07036E+0
4.09000E+2 1.09158E+0
1.01000E+2 1.16308E+0
2.16000E+2 1.14426E+0
3.14000E+2 1.12032E+0
3.60000E+2 1.10702E+0
2.04000E+2 1.14673E+0
3.66000E+2 1.10519E+0
2.63000E+2 1.13358E+0
1.86000E+2 1.15023E+0
4.79000E+2 1.06749E+0
2.73000E+2 1.13111E+0
1.08000E+2 1.16227E+0
4.52000E+2 1.07705E+0
2.20000E+2 1.14341E+0
4.69000E+2 1.07107E+0
2.72000E+2 1.13136E+0
4.90000E+2 1.06351E+0
4.65000E+2 1.07249E+0
2.24000E+2 1.14255E+0
1.85000E+2 1.15042E+0
1.18000E+2 1.16103E+0
4.80000E+2 1.06713E+0
1.77000E+2 1.15188E+0
2.22000E+2 1.14298E+0
3.24000E+2 1.11753E+0
3.08000E+2 1.12196E+0
1.74000E+2 1.15242E+0
2.78000E+2 1.12985E+0
2.49000E+2 1.13692E+0
3.01000E+2 1.12385E+0
2.94000E+2 1.12571E+0
3.07000E+2 1.12224E+0
4.77000E+2 1.06821E+0
3.19000E+2 1.11893E+0
2.43000E+2 1.13831E+0
4.78000E+2 1.06785E+0
2.60000E+2 1.13431E+0
4.22000E+2 1.08728E+0
1.84000E+2 1.15060E+0
2.91000E+2 1.12650E+0
4.63000E+2 1.07320E+0
2.23000E+2 1.14277E+0
1.36000E+2 1.15856E+0
4.94000E+2 1.06205E+0
3.12000E+2 1.12087E+0
1.31000E+2 1.15928E+0
