x y
9.90000E-5 4.84776E-1
7.70000E-5 4.39645E-1
2.30000E-5 2.21644E-1
2.88000E-4 6.34337E-1
5.00000E-5 3.58537E-1
8.10000E-5 4.48933E-1
8.90000E-5 4.65965E-1
5.50000E-5 3.76547E-1
2.18000E-4 6.03045E-1
2.71000E-4 6.27971E-1
1.64000E-4 5.65268E-1
1.35000E-4 5.36142E-1
2.83000E-4 6.32531E-1
1.65000E-4 5.66136E-1
2.49000E-4 6.18678E-1
2.77000E-4 6.30292E-1
6.00000E-5 3.92998E-1
2.00000E-4 5.92226E-1
1.22000E-4 5.19996E-1
1.05000E-4 4.94937E-1
1.86000E-4 5.82698E-1
2.72000E-4 6.28364E-1
1.75000E-4 5.74399E-1
2.96000E-4 6.37120E-1
9.80000E-5 4.83005E-1
8.80000E-5 4.63940E-1
1.49000E-4 5.51234E-1
6.80000E-5 4.16549E-1
2.29000E-4 6.08982E-1
1.33000E-4 5.33803E-1
