x y
2.99000E+2 1.12439E+0
4.35000E+2 1.08290E+0
1.44000E+2 1.15737E+0
4.05000E+2 1.09289E+0
3.80000E+2 1.10087E+0
2.12000E+2 1.14509E+0
2.54000E+2 1.13574E+0
3.59000E+2 1.10732E+0
4.36000E+2 1.08256E+0
2.42000E+2 1.13854E+0
4.17000E+2 1.08894E+0
4.01000E+2 1.09418E+0
1.46000E+2 1.15707E+0
2.38000E+2 1.13945E+0
1.09000E+2 1.16215E+0
3.41000E+2 1.11266E+0
1.37000E+2 1.15842E+0
3.09000E+2 1.12169E+0
2.68000E+2 1.13235E+0
2.66000E+2 1.13284E+0
4.47000E+2 1.07878E+0
3.03000E+2 1.12332E+0
1.41000E+2 1.15782E+0
3.20000E+2 1.11865E+0
1.16000E+2 1.16128E+0
4.43000E+2 1.08016E+0
1.57000E+2 1.15532E+0
4.67000E+2 1.07178E+0
1.51000E+2 1.15628E+0
3.58000E+2 1.10762E+0
1.58000E+2 1.15516E+0
4.50000E+2 1.07775E+0
4.32000E+2 1.08392E+0
3.44000E+2 1.11178E+0
4.13000E+2 1.09026E+0
1.48000E+2 1.15676E+0
2.26000E+2 1.14212E+0
4.54000E+2 1.07635E+0
3.53000E+2 1.10912E+0
3.52000E+2 1.10942E+0
4.45000E+2 1.07947E+0
1.52000E+2 1.15613E+0
1.66000E+2 1.15381E+0
3.65000E+2 1.10550E+0
3.45000E+2 1.11149E+0
1.54000E+2 1.15581E+0
1.73000E+2 1.15260E+0
2.70000E+2 1.13186E+0
2.32000E+2 1.14080E+0
4.61000E+2 1.07390E+0
1.53000E+2 1.15597E+0
1.42000E+2 1.15767E+0
4.15000E+2 1.08960E+0
3.29000E+2 1.11611E+0
4.84000E+2 1.06569E+0
1.71000E+2 1.15295E+0
4.85000E+2 1.06533E+0
4.11000E+2 1.09092E+0
1.79000E+2 1.15152E+0
2.89000E+2 1.12702E+0
2.79000E+2 1.12960E+0
4.08000E+2 1.09191E+0
3.90000E+2 1.09771E+0
4.49000E+2 1.07809E+0
1.64000E+2 1.15415E+0
1.03000E+2 1.16285E+0
3.95000E+2 1.09612E+0
2.92000E+2 1.12624E+0
1.07000E+2 1.16238E+0
4.16000E+2 1.08927E+0
1.93000E+2 1.14890E+0
3.17000E+2 1.11949E+0
2.39000E+2 1.13923E+0
1.30000E+2 1.15942E+0
2.55000E+2 1.13550E+0
2.76000E+2 1.13036E+0
4.55000E+2 1.07600E+0
1.90000E+2 1.14947E+0
1.22000E+2 1.16050E+0
1.63000E+2 1.15432E+0
3.91000E+2 1.09739E+0
2.52000E+2 1.13622E+0
3.78000E+2 1.10149E+0
1.56000E+2 1.15548E+0
3.25000E+2 1.11725E+0
3.18000E+2 1.11921E+0
3.64000E+2 1.10580E+0
2.06000E+2 1.14633E+0
4.64000E+2 1.07284E+0
3.94000E+2 1.09644E+0
3.57000E+2 1.10792E+0
3.86000E+2 1.09898E+0
4.59000E+2 1.07460E+0
3.97000E+2 1.09547E+0
4.73000E+2 1.06965E+0
1.02000E+2 1.16296E+0
3.81000E+2 1.10055E+0
1.19000E+2 1.16090E+0
4.75000E+2 1.06893E+0
3.61000E+2 1.10671E+0
3.06000E+2 1.12251E+0
4.66000E+2 1.07214E+0
4.30000E+2 1.08459E+0
3.04000E+2 1.12305E+0
4.81000E+2 1.06677E+0
1.15000E+2 1.16141E+0
3.87000E+2 1.09866E+0
3.82000E+2 1.10024E+0
2.98000E+2 1.12465E+0
4.18000E+2 1.08861E+0
2.28000E+2 1.14168E+0
2.36000E+2 1.13990E+0
1.88000E+2 1.14985E+0
3.93000E+2 1.09676E+0
3.48000E+2 1.11060E+0
2.80000E+2 1.12934E+0
3.46000E+2 1.11119E+0
1.11000E+2 1.16190E+0
4.98000E+2 1.06058E+0
1.45000E+2 1.15722E+0
3.27000E+2 1.11668E+0
3.79000E+2 1.10118E+0
3.37000E+2 1.11382E+0
4.88000E+2 1.06424E+0
1.94000E+2 1.14870E+0
2.62000E+2 1.13382E+0
2.93000E+2 1.12598E+0
2.31000E+2 1.14102E+0
1.97000E+2 1.14812E+0
4.51000E+2 1.07740E+0
1.76000E+2 1.15206E+0
3.71000E+2 1.10366E+0
1.05000E+2 1.16262E+0
4.41000E+2 1.08085E+0
4.23000E+2 1.08695E+0
1.04000E+2 1.16273E+0
1.65000E+2 1.15398E+0
1.75000E+2 1.15224E+0
2.53000E+2 1.13598E+0
1.06000E+2 1.16250E+0
4.00000E+2 1.09451E+0
4.60000E+2 1.07425E+0
2.29000E+2 1.14146E+0
2.88000E+2 1.12728E+0
5.00000E+2 1.05984E+0
4.99000E+2 1.06021E+0
2.45000E+2 1.13785E+0
3.30000E+2 1.11583E+0
1.60000E+2 1.15483E+0
4.53000E+2 1.07670E+0
1.68000E+2 1.15347E+0
2.01000E+2 1.14733E+0
3.31000E+2 1.11554E+0
1.32000E+2 1.15913E+0
4.03000E+2 1.09354E+0
3.67000E+2 1.10489E+0
2.75000E+2 1.13061E+0
2.58000E+2 1.13479E+0
1.34000E+2 1.15885E+0
3.21000E+2 1.11837E+0
3.73000E+2 1.10304E+0
1.67000E+2 1.15364E+0
3.00000E+2 1.12412E+0
3.56000E+2 1.10822E+0
2.48000E+2 1.13715E+0
3.38000E+2 1.11353E+0
3.35000E+2 1.11440E+0
3.75000E+2 1.10242E+0
4.46000E+2 1.07913E+0
4.83000E+2 1.06605E+0
3.68000E+2 1.10458E+0
3.84000E+2 1.09961E+0
3.34000E+2 1.11468E+0
1.47000E+2 1.15691E+0
1.69000E+2 1.15330E+0
3.11000E+2 1.12114E+0
3.02000E+2 1.12359E+0
2.81000E+2 1.12909E+0
1.80000E+2 1.15134E+0
4.82000E+2 1.06641E+0
1.55000E+2 1.15564E+0
4.39000E+2 1.08153E+0
1.81000E+2 1.15116E+0
3.74000E+2 1.10273E+0
3.76000E+2 1.10211E+0
4.96000E+2 1.06131E+0
2.14000E+2 1.14468E+0
1.38000E+2 1.15827E+0
3.15000E+2 1.12004E+0
2.87000E+2 1.12754E+0
2.44000E+2 1.13808E+0
4.07000E+2 1.09223E+0
3.54000E+2 1.10882E+0
3.96000E+2 1.09579E+0
3.39000E+2 1.11324E+0
3.50000E+2 1.11001E+0
2.74000E+2 1.13086E+0
2.95000E+2 1.12545E+0
2.02000E+2 1.14713E+0
4.14000E+2 1.08993E+0
3.69000E+2 1.10428E+0
4.72000E+2 1.07000E+0
3.28000E+2 1.11640E+0
3.55000E+2 1.10852E+0
1.59000E+2 1.15499E+0
4.56000E+2 1.07565E+0
3.33000E+2 1.11497E+0
1.83000E+2 1.15079E+0
2.34000E+2 1.14035E+0
1.70000E+2 1.15312E+0
3.13000E+2 1.12059E+0
1.28000E+2 1.15969E+0
1.21000E+2 1.16064E+0
3.36000E+2 1.11411E+0
3.23000E+2 1.11781E+0
1.39000E+2 1.15812E+0
2.64000E+2 1.13333E+0
4.62000E+2 1.07355E+0
4.38000E+2 1.08188E+0
2.61000E+2 1.13406E+0
2.65000E+2 1.13309E+0
1.99000E+2 1.14773E+0
2.35000E+2 1.14013E+0
4.28000E+2 1.08527E+0
2.46000E+2 1.13762E+0
2.56000E+2 1.13527E+0
3.26000E+2 1.11697E+0
4.74000E+2 1.06929E+0
3.92000E+2 1.09708E+0
1.26000E+2 1.15997E+0
1.89000E+2 1.14966E+0
4.70000E+2 1.07071E+0
3.40000E+2 1.11295E+0
4.44000E+2 1.07982E+0
1.87000E+2 1.15004E+0
2.97000E+2 1.12492E+0
4.87000E+2 1.06460E+0
4.86000E+2 1.06496E+0
1.20000E+2 1.16077E+0
2.13000E+2 1.14489E+0
1.29000E+2 1.15955E+0
1.23000E+2 1.16037E+0
4.26000E+2 1.08594E+0
2.82000E+2 1.12883E+0
3.10000E+2 1.12142E+0
