fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
UDT0 7:58 300.9 38.53 1.000E+000 1.258E+000 1.597E-006 1.590E+004 2.664E+000 1.991E-008 2.078E-003 
UDT1 8:0 300.9 38.53 1.000E+000 1.250E+000 1.649E-006 1.590E+004 2.652E+000 2.028E-008 1.077E-003 
UDT2 8:3 301 38.52 1.000E+000 1.246E+000 1.700E-006 1.584E+004 2.649E+000 2.048E-008 1.131E-003 
UDT3 8:6 301 38.52 1.000E+000 1.217E+000 1.722E-006 1.584E+004 2.652E+000 2.021E-008 1.405E-003 
UDT4 8:8 301.1 38.51 1.000E+000 1.245E+000 1.714E-006 1.578E+004 2.653E+000 2.031E-008 1.204E-003 
UDT5 8:11 301.2 38.49 1.000E+000 1.265E+000 1.689E-006 1.572E+004 2.654E+000 2.032E-008 1.135E-003 
UDT6 8:13 301.2 38.49 1.000E+000 1.258E+000 1.716E-006 1.572E+004 2.651E+000 2.044E-008 1.222E-003 
UDT7 8:16 301.3 38.48 1.000E+000 1.283E+000 1.675E-006 1.566E+004 2.660E+000 2.022E-008 1.388E-003 
UDT8 8:18 301.3 38.48 1.000E+000 1.292E+000 1.664E-006 1.566E+004 2.654E+000 2.037E-008 1.581E-003 
UDT9 8:21 301.4 38.47 1.000E+000 1.290E+000 1.714E-006 1.561E+004 2.648E+000 2.066E-008 1.124E-003 
