fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
DT1 6:32 296 39.17 1.555E+000 5.823E-006 1.749E-012 2.758 0.8402 1.483E+004 
DT10 6:56 295.9 39.18 1.555E+000 5.530E-006 1.153E-012 2.728 0.8259 1.483E+004 
DT2 6:35 296 39.17 1.555E+000 5.667E-006 1.233E-012 2.743 0.8267 1.483E+004 
DT3 6:38 296 39.17 1.555E+000 5.760E-006 2.535E-012 2.755 0.8548 1.483E+004 
DT4 6:41 295.9 39.18 1.555E+000 5.689E-006 1.479E-012 2.747 0.8342 1.483E+004 
DT5 6:44 295.9 39.18 1.555E+000 5.728E-006 2.190E-012 2.753 0.8494 1.483E+004 
DT6 6:46 295.9 39.18 1.555E+000 5.845E-006 3.095E-012 2.767 0.8632 1.483E+004 
DT7 6:49 295.9 39.18 1.555E+000 5.689E-006 2.163E-012 2.749 0.8497 1.483E+004 
DT8 6:52 295.9 39.18 1.555E+000 5.561E-006 9.223E-013 2.731 0.8174 1.483E+004 
DT9 6:54 295.9 39.18 1.555E+000 5.648E-006 1.302E-012 2.742 0.8298 1.483E+004 
