fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0UL1 10:37 303.6 38.19 1.000E+000 2.178E+000 2.954E-006 5.766E+004 2.355E+000 8.940E-008 1.466E-004 2.560E-001 1.466E-004 1.843E-005 4.910E-001 1.720E-001 1.071E-004 2.580E-003 
0UL2 11:1 307.2 37.74 1.000E+000 2.205E+000 2.451E-006 5.017E+004 2.365E+000 9.143E-008 1.484E-004 2.438E-001 1.484E-004 1.728E-005 4.778E-001 1.619E-001 1.067E-004 1.211E-003 
0UL3 11:15 309.3 37.49 1.000E+000 2.293E+000 2.418E-006 4.617E+004 2.356E+000 9.539E-008 1.455E-004 2.353E-001 1.454E-004 1.608E-005 4.698E-001 1.553E-001 1.034E-004 1.697E-003 
0UL4 11:43 311.6 37.21 1.000E+000 2.314E+000 2.413E-006 4.208E+004 2.345E+000 1.003E-007 1.483E-004 2.288E-001 1.482E-004 1.573E-005 4.637E-001 1.502E-001 1.047E-004 1.892E-003 
0UL5 12:0 313.5 36.98 1.000E+000 2.309E+000 2.295E-006 3.892E+004 2.355E+000 9.901E-008 1.487E-004 2.212E-001 1.486E-004 1.496E-005 4.551E-001 1.441E-001 1.038E-004 4.586E-003 
0UL6 12:28 316.1 36.68 1.000E+000 2.275E+000 2.474E-006 3.488E+004 2.347E+000 1.032E-007 1.490E-004 2.124E-001 1.490E-004 1.412E-005 4.463E-001 1.374E-001 1.027E-004 1.017E-002 
0UL7 12:46 318.5 36.4 1.000E+000 2.302E+000 2.321E-006 3.143E+004 2.347E+000 1.059E-007 1.496E-004 2.042E-001 1.495E-004 1.336E-005 4.376E-001 1.310E-001 1.019E-004 3.325E-003 
0UL8 13:14 321.1 36.11 1.000E+000 2.358E+000 2.456E-006 2.795E+004 2.339E+000 1.104E-007 1.500E-004 1.957E-001 1.499E-004 1.258E-005 4.288E-001 1.245E-001 1.009E-004 1.713E-003 
0UL9 13:30 323.8 35.81 1.000E+000 2.323E+000 2.536E-006 2.461E+004 2.324E+000 1.161E-007 1.503E-004 1.867E-001 1.503E-004 1.179E-005 4.201E-001 1.178E-001 9.997E-005 2.356E-003 
UL10 13:53 325.9 35.58 1.000E+000 2.353E+000 2.456E-006 2.216E+004 2.321E+000 1.188E-007 1.505E-004 1.795E-001 1.504E-004 1.114E-005 4.125E-001 1.125E-001 9.893E-005 2.880E-003 
UL11 14:8 328.7 35.27 1.000E+000 2.329E+000 2.713E-006 1.909E+004 2.288E+000 1.302E-007 1.505E-004 1.715E-001 1.505E-004 1.046E-005 4.055E-001 1.067E-001 9.796E-005 3.088E-003 
UL12 14:29 331 35.03 1.000E+000 2.407E+000 2.392E-006 1.670E+004 2.301E+000 1.304E-007 1.509E-004 1.636E-001 1.508E-004 9.767E-006 3.959E-001 1.008E-001 9.680E-005 9.856E-004 
