N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.196269887E+00 1.192665532E+00 1.188894863E+00 1.185319076E+00
1.600000000E+01 1.250712920E+00 1.247331885E+00 1.244370941E+00 1.240739630E+00
1.700000000E+01 1.319420837E+00 1.314302326E+00 1.309956699E+00 1.307669130E+00
1.549996187E+01 1.227154011E+00 1.222993708E+00 1.220852326E+00 1.218780972E+00
1.649996187E+01 1.279729546E+00 1.275358377E+00 1.272193803E+00 1.269437471E+00
1.674996808E+01 1.298066361E+00 1.292362739E+00 1.289411640E+00 1.286690168E+00
1.624993176E+01 1.264018410E+00 1.260502410E+00 1.257450144E+00 1.254534160E+00
1.574996808E+01 1.238640390E+00 1.235475755E+00 1.231641787E+00 1.229744990E+00
1.524993176E+01 1.214949110E+00 1.211191088E+00 1.208470362E+00 1.206116395E+00
