fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
W70S03 1387892493 0 555 8.145013393E+18 1.018547919E-05 3.400000000E-04 6.319570971E-01 3.257695737E+02 1.376276645E-03 
W70S03 1387892493 0 555 8.145013393E+18 1.018547919E-05 3.400000000E-04 6.319570971E-01 3.257695737E+02 1.376276645E-03 
W70S05 1387892493 0 555 8.987766567E+18 1.965842937E-05 3.400000000E-04 6.327701282E-01 3.349278542E+02 1.525004008E-03 
W70S05 1387892493 0 555 8.987766567E+18 1.965842937E-05 3.400000000E-04 6.327701282E-01 3.349278542E+02 1.525004008E-03 
W70S10 1387892493 0 555 9.663214551E+18 9.999998583E+01 3.400000000E-04 6.333844252E-01 3.420178881E+02 1.582061150E-03 
W70S10 1387892493 0 555 9.663214551E+18 9.999998582E+01 3.400000000E-04 6.333844252E-01 3.420178881E+02 1.582061150E-03 
W70S15 1387892493 0 555 1.001573867E+19 9.999999930E+01 3.400000000E-04 6.338994672E-01 3.480778919E+02 1.688641554E-03 
W70S15 1387892493 0 555 1.001573867E+19 9.999999930E+01 3.400000000E-04 6.338994672E-01 3.480778919E+02 1.688641554E-03 
W70S20 1387892493 0 555 9.740821384E+18 9.999999979E+01 3.400000000E-04 6.342032387E-01 3.517022970E+02 2.141227281E-03 
W70S20 1387892493 0 555 9.740821384E+18 9.999999988E+01 3.400000000E-04 6.342032387E-01 3.517022970E+02 2.141227281E-03 
