fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
L010 8:44:22 292.5 39.64 1.000E+000 8.312E-001 1.221E-006 2.115E+003 3.137E+000 4.707E-009 1.735E-004 1.638E-001 1.735E-004 9.014E-006 3.172E-001 9.280E-002 9.703E-005 1.392E-002 
L011 8:52:08 292.4 39.65 1.000E+000 8.163E-001 1.225E-006 2.116E+003 3.149E+000 4.574E-009 1.735E-004 1.632E-001 1.734E-004 8.967E-006 3.169E-001 9.240E-002 9.694E-005 1.845E-002 
L020 9:14:50 295.8 39.2 1.000E+000 8.132E-001 1.288E-006 2.063E+003 3.070E+000 5.895E-009 1.694E-004 1.562E-001 1.693E-004 8.323E-006 3.148E-001 8.810E-002 9.436E-005 5.726E-003 
L021 9:20:42 295.9 39.18 1.000E+000 8.288E-001 1.264E-006 2.062E+003 3.073E+000 5.875E-009 1.696E-004 1.558E-001 1.695E-004 8.314E-006 3.147E-001 8.790E-002 9.447E-005 4.688E-003 
L030 9:37:54 298.6 38.83 1.000E+000 7.354E-001 1.460E-006 2.018E+003 3.015E+000 7.100E-009 1.738E-004 1.541E-001 1.737E-004 8.440E-006 3.154E-001 8.700E-002 9.690E-005 1.029E-002 
L031 9:43:10 298.7 38.82 1.000E+000 7.188E-001 1.519E-006 2.016E+003 3.009E+000 7.174E-009 1.741E-004 1.541E-001 1.740E-004 8.461E-006 3.156E-001 8.700E-002 9.714E-005 1.099E-002 
L040 9:58:56 302.2 38.37 1.000E+000 7.429E-001 1.459E-006 1.956E+003 2.951E+000 8.847E-009 1.796E-004 1.508E-001 1.795E-004 8.552E-006 3.159E-001 8.520E-002 1.003E-004 2.156E-002 
L041 10:04:06 302.1 38.38 1.000E+000 7.252E-001 1.547E-006 1.958E+003 2.938E+000 8.973E-009 1.796E-004 1.514E-001 1.795E-004 8.599E-006 3.164E-001 8.560E-002 1.003E-004 2.124E-002 
L050 10:22:24 305.8 37.91 1.000E+000 6.989E-001 1.668E-006 1.891E+003 2.867E+000 1.130E-008 1.653E-004 1.381E-001 1.652E-004 7.075E-006 3.101E-001 7.730E-002 9.140E-005 8.051E+000 
L051 10:30:18 305.8 37.91 1.000E+000 6.996E-001 1.624E-006 1.891E+003 2.864E+000 1.137E-008 1.651E-004 1.382E-001 1.650E-004 7.074E-006 3.102E-001 7.740E-002 9.128E-005 2.576E+000 
L060 10:49:04 309.4 37.47 1.000E+000 6.870E-001 1.696E-006 1.824E+003 2.802E+000 1.402E-008 1.791E-004 1.392E-001 1.790E-004 7.802E-006 3.132E-001 7.830E-002 9.951E-005 1.917E-001 
L061 10:54:30 309.5 37.46 1.000E+000 7.235E-001 1.532E-006 1.823E+003 2.839E+000 1.335E-008 1.806E-004 1.386E-001 1.805E-004 7.816E-006 3.126E-001 7.780E-002 1.003E-004 1.646E-002 
L070 11:10:56 313.6 36.97 1.000E+000 6.736E-001 1.793E-006 1.744E+003 2.725E+000 1.767E-008 1.776E-004 1.311E-001 1.774E-004 7.228E-006 3.107E-001 7.340E-002 9.834E-005 1.182E-002 
