name time T kT_1 I
01RV 01rv.dat 292.1 39.69 5.921E-007
02RV 02rv.dat 292.1 39.69 5.756E-007
03RV 03rv.dat 555 20.89 5.789E-007
04RV 04rv.dat 294.1 39.42 7.132E-007
05RV 05rv.dat 293.8 39.46 7.161E-007
06RV 06rv.dat 295.1 39.29 7.883E-007
07RV 07rv.dat 295 39.3 7.975E-007
08RV 08rv.dat 295 39.3 8.099E-007
09RV 09rv.dat 297.6 38.96 8.639E-007
10RV 10rv.dat 297.5 38.97 8.573E-007
11RV 11rv.dat 297.5 38.97 8.464E-007
12RV 12rv.dat 300.1 38.63 9.494E-007
13RV 13rv.dat 300 38.65 9.581E-007
14RV 14rv.dat 302.6 38.32 1.029E-006
15RV 15rv.dat 302.5 38.33 1.072E-006
16RV 16rv.dat 302.5 38.33 1.027E-006
17RV 17rv.dat 305.1 38 1.090E-006
18RV 18rv.dat 305 38.01 1.080E-006
19RV 19rv.dat 305 38.01 1.077E-006
20RV 20rv.dat 307.5 37.7 1.182E-006
21RV 21rv.dat 307.5 37.7 1.229E-006
22RV 22rv.dat 307.5 37.7 1.187E-006
23RV 23rv.dat 310 37.4 1.195E-006
24RV 24rv.dat 310 37.4 1.212E-006
25RV 25rv.dat 310 37.4 1.281E-006
26RV 26rv.dat 312.6 37.09 1.260E-006
27RV 27rv.dat 312.5 37.1 1.263E-006
28RV 28rv.dat 312.5 37.1 1.350E-006
29RV 29rv.dat 315 36.81 1.343E-006
30RV 30rv.dat 315 36.81 1.266E-006
31RV 31rv.dat 315 36.81 1.299E-006
32RV 32rv.dat 317.6 36.51 1.357E-006
33RV 33rv.dat 317.5 36.52 1.263E-006
34RV 34rv.dat 317.5 36.52 1.352E-006
35RV 35rv.dat 320.1 36.22 1.423E-006
36RV 36rv.dat 320 36.23 1.442E-006
37RV 37rv.dat 320 36.23 1.611E-006
38RV 38rv.dat 322.5 35.95 1.577E-006
39RV 39rv.dat 322.5 35.95 1.774E-006
40RV 40rv.dat 322.4 35.96 1.568E-006
41RV 41rv.dat 325.1 35.66 1.645E-006
42RV 42rv.dat 325 35.67 1.684E-006
43RV 43rv.dat 325 35.67 1.679E-006
44RV 44rv.dat 327.6 35.39 2.094E-006
45RV 45rv.dat 327.6 35.39 1.910E-006
46RV 46rv.dat 327.5 35.4 1.951E-006
47RV 47rv.dat 330.1 35.12 2.117E-006
48RV 48rv.dat 330.1 35.12 2.210E-006
49RV 49rv.dat 329.9 35.14 2.085E-006
50RV 50rv.dat 332.6 34.86 2.414E-006
51RV 51rv.dat 332.5 34.87 2.444E-006
52RV 52rv.dat 332.6 34.86 2.444E-006
53RV 53rv.dat 332.5 34.87 2.378E-006
54RV 54rv.dat 335 34.61 2.805E-006
55RV 55rv.dat 335.1 34.6 2.598E-006
56RV 56rv.dat 335 34.61 2.699E-006
57RV 57rv.dat 337.5 34.35 2.941E-006
58RV 58rv.dat 337.5 34.35 3.180E-006
59RV 59rv.dat 337.5 34.35 3.085E-006
60RV 60rv.dat 340.1 34.09 3.323E-006
61RV 61rv.dat 340 34.1 3.420E-006
62RV 62rv.dat 339.9 34.11 3.434E-006
