fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_300 001_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 7.875006319E-13 1.000000000E+20 1.230863178E+00 1.337560519E-12 1.295545208E-02 
001_300_SRH 001_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 7.872597912E-13 1.000000000E+20 1.230893437E+00 1.337581003E-12 1.295877133E-02 
002_300 002_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 8.941786956E-13 1.000000000E+20 1.239913297E+00 1.736782680E-12 1.453771162E-02 
002_300_SRH 002_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 8.939109613E-13 1.000000000E+20 1.239914314E+00 1.736778815E-12 1.454048848E-02 
003_300 003_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.004009161E-12 1.000000000E+20 1.240344485E+00 2.243252133E-12 1.591827096E-02 
003_300_SRH 003_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.003742182E-12 1.000000000E+20 1.240345557E+00 2.243249354E-12 1.592090901E-02 
004_300 004_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.125650557E-12 1.000000000E+20 1.240635883E+00 2.898460334E-12 1.738904282E-02 
004_300_SRH 004_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.125384243E-12 1.000000000E+20 1.240636749E+00 2.898457722E-12 1.739152306E-02 
005_300 005_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.259677269E-12 1.000000000E+20 1.240783693E+00 3.746611873E-12 1.894597239E-02 
005_300_SRH 005_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.259411401E-12 1.000000000E+20 1.240784318E+00 3.746608852E-12 1.894829777E-02 
006_300 006_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.407206905E-12 1.000000000E+20 1.240818247E+00 4.846102155E-12 2.060539711E-02 
006_300_SRH 006_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.406941592E-12 1.000000000E+20 1.240818746E+00 4.846099181E-12 2.060758106E-02 
007_300 007_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.579311473E-12 1.000000000E+20 1.243373226E+00 6.284727147E-12 2.238213643E-02 
007_300_SRH 007_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.579117260E-12 1.000000000E+20 1.243391776E+00 6.284807922E-12 2.238449109E-02 
008_300 008_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.798338365E-12 1.000000000E+20 1.251098079E+00 8.191990062E-12 2.450254925E-02 
008_300_SRH 008_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.798074015E-12 1.000000000E+20 1.251098430E+00 8.191987329E-12 2.450427773E-02 
009_300 009_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.005718351E-12 1.000000000E+20 1.250573287E+00 1.062502559E-11 2.622588838E-02 
009_300_SRH 009_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.005454353E-12 1.000000000E+20 1.250573545E+00 1.062502212E-11 2.622747829E-02 
010_300 010_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.233379387E-12 1.000000000E+20 1.249757007E+00 1.380104517E-11 2.798928289E-02 
010_300_SRH 010_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.233115903E-12 1.000000000E+20 1.249757212E+00 1.380104106E-11 2.799074128E-02 
