Complexity,Loss,Equation
1,125.3096,"4.2256436"
3,124.435394,"Tn + 2.4491236"
4,24.435972,"PowInv(0.011035907 + por)"
5,23.43874,"(por + 0.030220153) ^ -1.2876005"
6,1.8678795,"PowInv((Tn / 205.01942) + por)"
7,0.39867213,"(por + (Tn * 0.011116977)) ^ -1.208221"
8,0.39789838,"(tanh(0.011126238 * Tn) + por) ^ -1.2084228"
9,0.32288808,"((por ^ 1.0583555) + (0.009842246 * Tn)) ^ -1.1723115"
10,0.30948323,"PowInv(((0.013798003 * (Tn ^ 0.92141557)) + por) ^ 1.2638755)"
11,0.19402681,"(((Tn * 0.009074734) + (0.75172627 * por)) ^ -1.1519217) + -1.043071"
12,0.18215615,"-1.101963 + PowInv(((0.009325842 * Tn) + por) ^ (por + 1.1595106))"
13,0.17913665,"PowInv(((Tn * 0.009435707) + sin(por)) ^ (1.1632417 + por)) + -1.2923851"
14,0.14858411,"PowInv((((Tn / (0.008139455 ^ por)) * 0.009726953) + por) ^ (1.1690931 + por))"
15,0.14675035,"-1.0086021 + PowInv(((0.009443952 * (Tn ^ exp(por))) + por) ^ (por + 1.1628784))"
16,0.1320683,"PowInv((por + (0.009785224 * (((212.82454 / Tn) ^ por) * Tn))) ^ (1.1707305 + por))"
17,0.10661764,"PowInv((por * 0.6901414) + ((Tn + -0.23103729) * 0.0057464438)) + sin(Tn + (por / 0.1729192))"
18,0.10659838,"PowInv((por * 0.6901414) + tanh((-0.23103729 + Tn) * 0.0057464438)) + sin(Tn + (por / 0.1729192))"
19,0.09026412,"sin((Tn ^ 0.8596612) + (por / 0.1669566)) + PowInv((0.005768193 * (-0.23421352 + Tn)) + (0.6927267 * por))"
20,0.08407666,"tanh(sin((por / 0.17012373) + Tn) / 0.4366391) + PowInv(((Tn + -0.2302962) * 0.0057464475) + (por * 0.6780522))"
21,0.0810644,"PowInv((por * 0.67888594) + ((-0.23346868 + Tn) * 0.0057691103)) + (1.1514076 * sin((Tn ^ 0.8790489) + (por / 0.16489226)))"
22,0.07532353,"PowInv((0.67753696 * por) + ((-0.23446923 + Tn) * 0.0057747224)) + (tanh(sin((Tn ^ 0.881952) + (por / 0.16475311))) / 0.6920908)"
23,0.07254177,"tanh(sin((por / 0.17215465) + Tn) / sin(-0.5938547 + Tn)) + PowInv((0.68964833 * por) + (0.005746445 * (Tn + -0.23138918)))"
24,0.07107612,"PowInv((por * 0.6832459) + (0.005750605 * (-0.2302962 + Tn))) + (1.2520895 * sin((Tn ^ cos(por * 2.7810209)) + (por / 0.16153364)))"
25,0.06369089,"tanh(sin(Tn + (por / 0.16897218)) / (sin(-0.27741775 + Tn) ^ 2.6903195)) + PowInv((0.005746444 * (-0.230936 + Tn)) + (por * 0.67910314))"
