f G/w
1.0000000E+6 2.5239580E-5
8.9779585E+5 2.5183038E-5
8.0603739E+5 2.5040867E-5
7.2365703E+5 2.4718544E-5
6.4969628E+5 2.4286431E-5
5.8329463E+5 2.3616338E-5
5.2367949E+5 2.3054771E-5
4.7015728E+5 2.2383132E-5
4.2210526E+5 2.1675725E-5
3.7896435E+5 2.0851307E-5
3.4023262E+5 1.9941226E-5
3.0545943E+5 1.9076069E-5
2.7424021E+5 1.8175904E-5
2.4621173E+5 1.7268832E-5
2.2104787E+5 1.6337391E-5
1.9845586E+5 1.5442006E-5
1.7817285E+5 1.4610596E-5
1.5996284E+5 1.3812452E-5
1.4361398E+5 1.3079027E-5
1.2893603E+5 1.2413461E-5
1.1575824E+5 1.1818343E-5
1.0392726E+5 1.1260653E-5
9.3305466E+4 1.0818322E-5
8.3769261E+4 1.0502526E-5
7.5207695E+4 1.0207415E-5
6.7521156E+4 9.9753407E-6
6.0620214E+4 9.9666828E-6
5.4424577E+4 1.0012630E-5
4.8862159E+4 1.0090257E-5
4.3868244E+4 1.0274493E-5
3.9384728E+4 1.0549704E-5
3.5359445E+4 1.1038966E-5
3.1745563E+4 1.1661784E-5
2.8501035E+4 1.2274030E-5
2.5588111E+4 1.3236810E-5
2.2972900E+4 1.4195079E-5
2.0624974E+4 1.5174037E-5
1.8517016E+4 1.6623273E-5
1.6624501E+4 1.8094879E-5
1.4925408E+4 1.9520217E-5
1.3399969E+4 2.1476297E-5
1.2030437E+4 2.3652861E-5
1.0800876E+4 2.6350695E-5
9.6969820E+3 2.9465683E-5
8.7059100E+3 3.2899622E-5
7.8161300E+3 3.7513075E-5
7.0172890E+3 4.2794810E-5
6.3000930E+3 4.7755727E-5
5.6561970E+3 5.4419937E-5
5.0781110E+3 6.1864392E-5
4.5591070E+3 7.1141162E-5
4.0931470E+3 8.0909549E-5
3.6748100E+3 9.1520692E-5
3.2992300E+3 1.0517137E-4
2.9620350E+3 1.2212389E-4
2.6593020E+3 1.3978730E-4
2.3875110E+3 1.6085378E-4
2.1434970E+3 1.8578600E-4
1.9244230E+3 2.1316214E-4
1.7277390E+3 2.4407094E-4
1.5511570E+3 2.7905751E-4
1.3926220E+3 3.1991890E-4
1.2502900E+3 3.7080415E-4
1.1225050E+3 4.2462501E-4
1.0077810E+3 4.8450546E-4
9.0478100E+2 5.6472934E-4
8.1230900E+2 6.5551016E-4
7.2928800E+2 7.6231024E-4
6.5475100E+2 8.7710482E-4
5.8783300E+2 9.8720199E-4
5.2775400E+2 1.1362796E-3
4.7381500E+2 1.3057766E-3
4.2539000E+2 1.5128952E-3
3.8191300E+2 1.8748649E-3
3.4288000E+2 2.1450450E-3
3.0783600E+2 2.4305060E-3
2.7637400E+2 2.6994195E-3
2.4812700E+2 2.9485414E-3
2.2276800E+2 3.3250663E-3
2.0000000E+2 3.7401060E-3
