T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.213231019E+00 1.226774794E+00 1.239293656E+00 1.252258311E+00 1.268119358E+00 1.285008808E+00 1.304019760E+00 1.325487665E+00 1.349343497E+00
295 1.209672025E+00 1.225959272E+00 1.239188589E+00 1.252120739E+00 1.267506123E+00 1.283752342E+00 1.302324805E+00 1.323367925E+00 1.346946244E+00
300 1.202311352E+00 1.224576825E+00 1.239494859E+00 1.252575332E+00 1.267746421E+00 1.283465973E+00 1.301640933E+00 1.322125082E+00 1.345271503E+00
305 1.186753263E+00 1.220937894E+00 1.239400703E+00 1.253491399E+00 1.268209576E+00 1.284159355E+00 1.301743926E+00 1.321847922E+00 1.344451765E+00
310 1.155780332E+00 1.212587597E+00 1.238215653E+00 1.254443931E+00 1.269685170E+00 1.285708045E+00 1.302843774E+00 1.322489814E+00 1.344730301E+00
315 1.099320843E+00 1.195034746E+00 1.234210963E+00 1.254771263E+00 1.271419838E+00 1.287626576E+00 1.304754376E+00 1.324082356E+00 1.346038068E+00
320 1.018761871E+00 1.161096712E+00 1.225157877E+00 1.253775139E+00 1.272874057E+00 1.290018249E+00 1.307311405E+00 1.326546173E+00 1.348203299E+00
325 1.018916469E+00 1.101598496E+00 1.206424035E+00 1.249729942E+00 1.273633864E+00 1.292301506E+00 1.310267561E+00 1.329635963E+00 1.351373209E+00
330 1.020849614E+00 1.015809889E+00 1.171365623E+00 1.240224402E+00 1.271329833E+00 1.294327591E+00 1.313499244E+00 1.333378767E+00 1.354901846E+00
335 1.024927068E+00 1.015926449E+00 1.111788900E+00 1.221241026E+00 1.267305856E+00 1.295411887E+00 1.316436102E+00 1.337133162E+00 1.358914403E+00
340 1.031689353E+00 1.017395781E+00 1.022113863E+00 1.186783891E+00 1.257850713E+00 1.294590719E+00 1.318764196E+00 1.340738013E+00 1.363134467E+00
