fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 59338 340.15 34.086 1.000000000E+00 7.691546210E-01 1.838121620E-08 1.441863778E+03 1.368622951E+00 2.969729911E-07 1.403497712E-04 1.666203445E-01 1.275605589E-04 3.402752417E-01 7.232272693E-06 9.634640436E-02 7.707061533E-05 6.472037900E-02 
00L2 59462 339.87 34.114 1.000000000E+00 7.531983568E-01 1.614886788E-08 1.355026868E+03 1.317052374E+00 2.186631983E-07 1.452470592E-04 1.694051804E-01 1.307307374E-04 3.486195669E-01 7.720690739E-06 9.806537704E-02 7.936250869E-05 8.901622934E-02 
00L3 59562 339.93 34.108 1.000000000E+00 7.295106777E-01 1.564280830E-08 1.356133999E+03 1.314290110E+00 2.178161562E-07 1.479223836E-04 1.712246475E-01 1.336200634E-04 3.533084186E-01 8.083360360E-06 9.949643927E-02 8.094877155E-05 8.135678315E-02 
00L4 59662 340 34.101 1.000000000E+00 7.540659720E-01 1.880597612E-08 1.473023112E+03 1.463408909E+00 4.083597455E-07 1.489029098E-04 1.730320938E-01 1.365419937E-04 3.567950819E-01 8.429693079E-06 1.006691292E-01 8.280200049E-05 8.020708093E-02 
00L5 59764 340.04 34.097 1.000000000E+00 7.402419658E-01 1.882550736E-08 1.500290315E+03 1.508279396E+00 5.027286376E-07 1.509334991E-04 1.745282303E-01 1.389313629E-04 3.592698257E-01 8.711375302E-06 1.015747017E-01 8.452630092E-05 8.021223485E-02 
00L6 59862 340.04 34.097 1.000000000E+00 7.524067931E-01 1.911540667E-08 1.478800359E+03 1.502782190E+00 4.575003224E-07 1.537469121E-04 1.760792313E-01 1.415494907E-04 3.612014665E-01 9.002558445E-06 1.027986732E-01 8.595248744E-05 1.189119157E-01 
00L7 59964 340.02 34.099 1.000000000E+00 7.694324976E-01 2.099844329E-08 1.618088929E+03 1.774058469E+00 1.150613054E-06 1.547374761E-04 1.777254745E-01 1.440380051E-04 3.639262164E-01 9.316228301E-06 1.039657768E-01 8.778775938E-05 1.465779797E-01 
00L8 60066 340.01 34.1 1.000000000E+00 7.376055039E-01 1.922807035E-08 1.512843740E+03 1.574633448E+00 5.885518851E-07 1.577213353E-04 1.789574600E-01 1.460127045E-04 3.448736779E-01 9.011570840E-06 1.208827758E-01 7.482693964E-05 5.278475503E-01 
00L9 60164 340.02 34.099 1.000000000E+00 7.523091622E-01 2.050496932E-08 1.690555680E+03 1.792923125E+00 1.213387198E-06 1.576682000E-04 1.801290329E-01 1.479536901E-04 3.653775170E-01 9.737586729E-06 1.050880333E-01 9.073425989E-05 1.986962174E+00 
0L10 60260 340.01 34.1 1.000000000E+00 7.571206668E-01 2.064737086E-08 1.685971432E+03 1.815728367E+00 1.265088478E-06 1.600619413E-04 1.829320820E-01 1.503162312E-04 3.635358228E-01 9.996384867E-06 1.065843239E-01 9.179369999E-05 3.350897951E-01 
0L11 60364 340.01 34.1 1.000000000E+00 7.982724683E-01 2.266651457E-08 3.247714082E+03 2.913271959E+00 1.126638633E-05 1.540960698E-04 1.824805904E-01 1.517482934E-04 3.667977345E-01 1.015703941E-05 1.073072198E-01 9.269574156E-05 1.082594798E-01 
0L12 60464 340.02 34.099 1.000000000E+00 7.393019973E-01 2.039956341E-08 1.747666623E+03 1.903730116E+00 1.665220145E-06 1.627680294E-04 1.831576767E-01 1.534829717E-04 3.673343678E-01 1.032635113E-05 1.080292946E-01 9.363292378E-05 1.527343057E-01 
0L13 60560 340.02 34.099 1.000000000E+00 7.213568001E-01 1.937748253E-08 1.660265778E+03 1.729691432E+00 1.024378967E-06 1.653340140E-04 1.846575977E-01 1.553047456E-04 3.661411085E-01 1.050026839E-05 1.083335152E-01 9.504372379E-05 1.512976346E-01 
0L14 60662 340.01 34.1 1.000000000E+00 6.846833153E-01 1.753175794E-08 1.504545274E+03 1.543654534E+00 5.455451877E-07 1.682918337E-04 1.850181332E-01 1.564092775E-04 3.665532253E-01 1.060751977E-05 1.096947734E-01 9.494302919E-05 8.157700778E-02 
0L15 60764 340.03 34.098 1.000000000E+00 7.225705911E-01 1.962244676E-08 1.574281538E+03 1.742980474E+00 9.743783519E-07 1.683284160E-04 1.856201065E-01 1.583097161E-04 3.569224650E-01 1.048833309E-05 1.098395149E-01 9.583356972E-05 7.179540134E-02 
0L16 60862 340.02 34.099 1.000000000E+00 7.579771337E-01 2.106002184E-08 1.936400474E+03 2.181966640E+00 3.175539353E-06 1.665921279E-04 1.866421307E-01 1.584759442E-04 3.639234849E-01 1.076423360E-05 1.068498619E-01 9.896426805E-05 5.606744228E-02 
0L17 60962 340 34.101 1.000000000E+00 7.855988196E-01 2.223204836E-08 3.396555015E+03 3.048621760E+00 1.289720977E-05 1.616399733E-04 1.875082310E-01 1.593201149E-04 3.665620987E-01 1.095061489E-05 1.095656369E-01 9.821754917E-05 4.507887780E-02 
0L18 61062 339.99 34.102 1.000000000E+00 7.865213128E-01 2.231519622E-08 3.816438120E+03 3.219120458E+00 1.560150940E-05 1.620033603E-04 1.873880337E-01 1.599380051E-04 3.665074527E-01 1.098439999E-05 1.109747169E-01 9.742889344E-05 3.855717519E-02 
0L19 61162 340 34.101 1.000000000E+00 7.329979437E-01 2.043697964E-08 1.745770171E+03 2.027104007E+00 2.123412915E-06 1.702722689E-04 1.878319473E-01 1.606313629E-04 3.669258486E-01 1.107077725E-05 1.112407173E-01 9.801068681E-05 5.142249440E-02 
0L20 61262 340.01 34.1 1.000000000E+00 7.309279729E-01 2.013748255E-08 1.728177059E+03 1.902653843E+00 1.550859273E-06 1.711033745E-04 1.884292923E-01 1.614975507E-04 3.669784529E-01 1.116747330E-05 1.118996305E-01 9.841034365E-05 1.052914326E-01 
0L21 61362 340.01 34.1 1.000000000E+00 7.438158894E-01 2.077540191E-08 1.841489874E+03 2.106006868E+00 2.524420764E-06 1.704787644E-04 1.885929611E-01 1.617605589E-04 3.669393210E-01 1.119418220E-05 1.107486732E-01 9.952119851E-05 7.793272995E-02 
0L22 61462 340.01 34.1 1.000000000E+00 7.418605702E-01 2.102672952E-08 2.145619119E+03 2.419931653E+00 5.031575570E-06 1.693597178E-04 1.885859898E-01 1.619867816E-04 3.674839975E-01 1.122606195E-05 1.111682838E-01 9.948825923E-05 4.901818915E-02 
0L23 61564 340.01 34.1 1.000000000E+00 7.738686670E-01 2.206878778E-08 5.609899769E+03 3.505856490E+00 2.202436988E-05 1.643828352E-04 1.891391403E-01 1.630166990E-04 3.672328045E-01 1.132282969E-05 1.114839341E-01 1.001348294E-04 2.099929900E-02 
0L24 61662 340 34.101 1.000000000E+00 7.400586108E-01 2.061391459E-08 1.717515124E+03 2.048957218E+00 2.157814905E-06 1.732375484E-04 1.891316669E-01 1.629414113E-04 3.676136490E-01 1.132888979E-05 1.117805779E-01 9.994653329E-05 4.400796518E-02 
0L25 61766 340 34.101 1.000000000E+00 7.520113023E-01 2.100468120E-08 1.829846732E+03 2.210138401E+00 3.073921510E-06 1.722205529E-04 1.892738026E-01 1.628975507E-04 3.672853071E-01 1.132422832E-05 1.117863709E-01 9.990390820E-05 3.656481795E-02 
0L26 61868 340 34.101 1.000000000E+00 7.314338245E-01 2.049133454E-08 1.741337019E+03 2.070242642E+00 2.293770875E-06 1.734245200E-04 1.894533260E-01 1.636536901E-04 3.661767878E-01 1.135321460E-05 1.116996518E-01 1.002568446E-04 4.152713183E-02 
0L27 61960 339.99 34.102 1.000000000E+00 7.360998200E-01 2.041234428E-08 1.734383061E+03 2.040769831E+00 2.149378152E-06 1.734218831E-04 1.896162766E-01 1.649274197E-04 3.584441735E-01 1.120959712E-05 1.122816884E-01 1.000986196E-04 4.402365734E-02 
0L28 62066 340.02 34.099 1.000000000E+00 7.573346522E-01 2.133104086E-08 2.246456561E+03 2.542604876E+00 6.056997120E-06 1.704245497E-04 1.892154034E-01 1.643967946E-04 3.599873694E-01 1.119791319E-05 1.122754372E-01 1.000152119E-04 3.744541356E-02 
0L29 62166 340 34.101 1.000000000E+00 7.374381678E-01 2.050346309E-08 1.747031757E+03 2.076085039E+00 2.315762751E-06 1.735643044E-04 1.896566418E-01 1.638088071E-04 3.672375248E-01 1.140912545E-05 1.128462746E-01 9.989787698E-05 4.340225862E-02 
