fname V Rs Rt Qt nt Rr Qr nr rmsre
d42m1V2n1 -1.2 6.3647637E+0 1.4129798E+3 1.9592030E-9 1.0000000E+0 1.8821332E+4 9.4690386E-10 9.9073081E-1 3.2610713E-2
d42m1V1n1 -1.1 6.3786712E+0 1.3574756E+3 1.9883594E-9 1.0000000E+0 1.9687684E+4 1.0393617E-9 9.8723681E-1 2.7937117E-2
d42m1Vn1 -1 6.5766926E+0 1.3419930E+3 2.0267890E-9 1.0000000E+0 2.0645877E+4 1.0621592E-9 9.8966627E-1 3.1511024E-2
d42m0V9n1 -0.9 6.5523527E+0 1.2882393E+3 2.0593997E-9 1.0000000E+0 2.2079429E+4 1.1656081E-9 9.8650572E-1 2.8960950E-2
d42m0V8n1 -0.8 6.5502609E+0 1.2357743E+3 2.0996353E-9 1.0000000E+0 2.2924688E+4 1.2352045E-9 9.8681205E-1 2.9508635E-2
d42m0V7n1 -0.7 6.8571722E+0 1.2002753E+3 2.1468250E-9 1.0000000E+0 2.4154481E+4 1.2985011E-9 9.8761153E-1 3.0642932E-2
d42m0V6n1 -0.6 6.8112231E+0 1.1394239E+3 2.1938983E-9 1.0000000E+0 2.5414369E+4 1.4308265E-9 9.8514117E-1 3.0537648E-2
d42m0V5n1 -0.5 6.9611860E+0 1.1032221E+3 2.2530680E-9 1.0000000E+0 2.6126853E+4 1.5273430E-9 9.8553722E-1 3.1217409E-2
d42m0V4n1 -0.4 7.1373852E+0 1.0696210E+3 2.3196005E-9 1.0000000E+0 2.6665480E+4 1.6104672E-9 9.8760518E-1 3.1728251E-2
d42m0V3n1 -0.3 7.1159976E+0 1.0032961E+3 2.3876859E-9 1.0000000E+0 2.7201905E+4 1.7968282E-9 9.8554658E-1 3.2238910E-2
d42m0V2n1 -0.2 7.1094301E+0 9.4158501E+2 2.4627650E-9 1.0000000E+0 2.7105083E+4 1.9934482E-9 9.8458410E-1 3.2294356E-2
d42m0V1n1 -0.1 7.0815069E+0 8.7084006E+2 2.5520369E-9 1.0000000E+0 2.6421322E+4 2.3086632E-9 9.8126917E-1 3.2129925E-2
d420Vn1 0 7.0679752E+0 8.0041932E+2 2.6572292E-9 1.0000000E+0 2.2239101E+4 2.6562122E-9 9.7996493E-1 3.1490034E-2
d420V1n1 0.1 7.0479534E+0 7.2524876E+2 2.7760143E-9 1.0000000E+0 1.1546452E+4 3.2054683E-9 9.7791498E-1 3.0587853E-2
d420V2n1 0.2 6.7191110E+0 6.1825190E+2 2.8990561E-9 1.0000000E+0 3.9116121E+3 4.5286346E-9 9.6993602E-1 2.7992752E-2
d420V3n1 0.3 6.3311574E+0 5.1365473E+2 3.0220056E-9 1.0000000E+0 1.3386029E+3 8.2535996E-9 9.4951087E-1 2.1722712E-2
