fname time Tem kT_1 A Rs Io Rsh dev 
01FR 1fr.dat 285.2 40.65 4.232E+001 5.635E+002 1.078E-014 1.062E+004 1.215E-003 
03FR 3fr.dat 287.8 40.29 3.535E+001 5.417E+002 5.231E-013 1.303E+004 1.032E-003 
05FR 5fr.dat 293.5 39.5 2.968E+001 4.835E+002 1.633E-011 1.179E+004 5.074E-004 
07FR 7fr.dat 298 38.91 2.346E+001 4.504E+002 6.361E-010 4.022E+004 3.753E-004 
09FR 9fr.dat 301.2 38.49 2.054E+001 4.268E+002 3.400E-009 1.784E+009 5.182E-004 
11FR 11fr.dat 304.7 38.05 2.018E+001 4.098E+002 4.576E-009 1.000E+012 7.968E-004 
13FR 13fr.dat 310.8 37.3 1.991E+001 3.702E+002 7.215E-009 1.000E+012 1.372E-003 
15FR 15fr.dat 316.5 36.63 2.081E+001 3.357E+002 5.939E-009 4.007E+006 9.154E-004 
17FR 17fr.dat 320.1 36.22 2.100E+001 3.124E+002 6.534E-009 1.009E+009 2.085E-003 
19FR 19fr.dat 325.9 35.58 1.927E+001 2.715E+002 2.017E-008 1.084E+008 1.699E-003 
21FR 21fr.dat 330.8 35.05 1.395E+001 2.333E+002 3.270E-007 1.000E+012 2.191E-003 
23FR 23fr.dat 334.7 34.64 1.322E+001 2.108E+002 5.115E-007 7.325E+010 2.014E-003 
25FR 25fr.dat 342.4 33.86 1.237E+001 1.771E+002 8.802E-007 1.000E+012 7.457E-004 
