Ytrue Nb T d Ypred RSE
260000000000.000153 1360000000000001.000000 340.000000 0.000380 72685571133.309296 1.856611
370000000000.000000 1360000000000001.000000 340.000000 0.000380 113037578208.831619 1.578755
3700000000000.000000 1360000000000001.000000 340.000000 0.000380 2422068222444.174316 0.182233
6600000000000.007812 1360000000000001.000000 340.000000 0.000380 3727719016928.858887 0.335326
7200000000000.008789 1360000000000001.000000 340.000000 0.000380 6278954434027.909180 0.018765
28000000000000.011719 1360000000000001.000000 340.000000 0.000380 34431494379498.472656 0.042905
28999999999999.968750 1360000000000001.000000 340.000000 0.000380 45778269926002.398438 0.212049
42000000000000.031250 1360000000000001.000000 340.000000 0.000380 39445347707029.406250 0.003939
390000000000.000305 1360000000000001.000000 300.000000 0.000380 260872744768.417389 0.163886
3700000000000.000000 1360000000000001.000000 300.000000 0.000380 3638231192628.878906 0.000283
6600000000000.007812 1360000000000001.000000 300.000000 0.000380 5658198479447.379883 0.023752
28999999999999.968750 1360000000000001.000000 300.000000 0.000380 51949891005523.992188 0.349606
42000000000000.031250 1360000000000001.000000 320.000000 0.000380 57208916644983.226562 0.096268
28999999999999.968750 1360000000000001.000000 320.000000 0.000380 33751682389739.347656 0.023068
390000000000.000305 1360000000000001.000000 320.000000 0.000380 552093198401.819458 0.122026
28000000000000.011719 1360000000000001.000000 330.000000 0.000380 27806238094243.500000 0.000048
260000000000.000153 1360000000000001.000000 305.000000 0.000380 147084322231.372589 0.333402
