Ytrue Nb T d Ypred RSE
189999999999.999969 1360000000000001.000000 340.000000 0.000380 95691440128.000000 0.489188
220000000000.000183 1360000000000001.000000 340.000000 0.000380 147429965824.000000 0.162370
260000000000.000153 1360000000000001.000000 340.000000 0.000380 165264556032.000000 0.208868
370000000000.000000 1360000000000001.000000 340.000000 0.000380 195150217216.000000 0.423408
709999999999.998779 1360000000000001.000000 340.000000 0.000380 326980304896.000000 0.631920
1300000000000.000488 1360000000000001.000000 340.000000 0.000380 614931759104.000000 0.587080
3700000000000.000000 1360000000000001.000000 340.000000 0.000380 998159351808.000000 1.976596
6600000000000.007812 1360000000000001.000000 340.000000 0.000380 3684200873984.000000 0.349646
7200000000000.008789 1360000000000001.000000 340.000000 0.000380 5410177679360.000000 0.082239
7600000000000.000000 1360000000000001.000000 340.000000 0.000380 2315155406848.000000 1.587343
8900000000000.009766 1360000000000001.000000 340.000000 0.000380 5410177679360.000000 0.252933
4900000000000.001953 1360000000000001.000000 340.000000 0.000380 5410177679360.000000 0.009818
14000000000000.003906 1360000000000001.000000 340.000000 0.000380 11453520150528.000000 0.040440
18999999999999.996094 1360000000000001.000000 340.000000 0.000380 12078901362688.000000 0.208722
28000000000000.011719 1360000000000001.000000 340.000000 0.000380 15609394888704.000000 0.351270
28999999999999.968750 1360000000000001.000000 340.000000 0.000380 15609394888704.000000 0.396110
42000000000000.031250 1360000000000001.000000 340.000000 0.000380 19952062955520.000000 0.580095
390000000000.000305 1360000000000001.000000 300.000000 0.000380 401142054912.000000 0.000794
3700000000000.000000 1360000000000001.000000 300.000000 0.000380 5210413989888.000000 0.118336
6600000000000.007812 1360000000000001.000000 300.000000 0.000380 7752665006080.000000 0.025966
28999999999999.968750 1360000000000001.000000 300.000000 0.000380 15233521287168.000000 0.428990
42000000000000.031250 1360000000000001.000000 320.000000 0.000380 65916268183552.000000 0.206607
28999999999999.968750 1360000000000001.000000 320.000000 0.000380 39084521160704.000000 0.089724
390000000000.000305 1360000000000001.000000 320.000000 0.000380 597556002816.000000 0.184853
4900000000000.001953 1360000000000001.000000 320.000000 0.000380 6755901243392.000000 0.104047
28000000000000.011719 1360000000000001.000000 330.000000 0.000380 21386143727616.000000 0.073050
42000000000000.031250 1360000000000001.000000 330.000000 0.000380 32682811588608.000000 0.063241
28000000000000.011719 1360000000000001.000000 310.000000 0.000380 14372638294016.000000 0.461455
28000000000000.011719 1360000000000001.000000 325.000000 0.000380 33200445325312.000000 0.029092
260000000000.000153 1360000000000001.000000 305.000000 0.000380 252061450240.000000 0.000962
