name MSE R2 MAPE MedAPE p01 p10
Ex94A 758.40 -1.02470 82.59 84.28 0 0
Ex94Ap 167.50 0.27644 98.96 54.07 0 25
Ex94I 7.61 0.92983 19.56 19.31 3.333 26.67
Ex94IE 17.36 0.83819 25.38 19.88 5.882 17.65
Ex94IEp 15.44 0.92317 23.4 15.87 0 41.18
Ex94IEV 151.40 -1.16280 195.8 30.8 0 23.08
Ex94IEVp 108.90 0.94717 44.94 54.51 7.692 15.38
Ex94Ip 8.52 0.88236 19.47 17.16 0 26.67
ExGb94A 25.29 0.65084 47.14 27.87 0 25
ExGb94Ap 446.80 0.35563 61.01 54.9 0 0
ExGb94I 14.90 0.63437 30.68 16.7 0 30
ExGb94IE 20.25 0.39406 39.11 21.36 5.882 17.65
ExGb94IEp 73.04 0.57436 45.36 47.77 0 23.53
ExGb94IEV 42.40 0.32875 66.41 45.6 0 23.08
ExGb94IEVp 126.80 0.92275 47.66 50.72 0 7.692
ExGb94Ip 58.15 0.60392 39.19 43.71 0 13.33
ExRf94A 25.80 0.64741 46.91 35.5 0 12.5
ExRf94Ap 317.80 0.46291 57.68 54.65 0 12.5
ExRf94I 15.14 0.63325 30.51 20 0 26.67
ExRf94IE 22.32 0.35915 40.13 21.59 5.882 11.76
ExRf94IEp 47.77 0.70646 38.67 36.82 5.882 23.53
ExRf94IEV 39.93 0.48201 63.1 30.61 0 15.38
ExRf94IEVp 107.90 0.94730 42.48 46.31 0 30.77
ExRf94Ip 55.05 0.56831 37.84 42.84 3.333 23.33
ExXg94A 12.63 0.86449 19.87 11.06 0 37.5
ExXg94Ap 343.10 0.56341 60.95 61.88 0 12.5
ExXg94I 20.33 0.68410 26.87 23.73 0 13.33
ExXg94IE 24.92 0.68321 31.23 29.39 0 11.76
ExXg94IEp 72.97 0.39626 50.77 52.44 0 11.76
ExXg94IEV 16.59 0.83133 24.66 21.86 0 15.38
ExXg94IEVp 132.90 0.86552 47.56 52.45 7.692 23.08
ExXg94Ip 41.29 0.64736 37.97 39.21 0 6.667
ExSv94A 615.50 -1.92810 77 49.97 0 0
ExSv94Ap 273.60 0.86667 57.24 52.77 0 0
ExSv94I 29.86 0.83386 35.18 37.83 0 6.667
ExSv94IE 73.90 0.48518 58.16 38.94 5.882 11.76
ExSv94IEp 37.63 0.71358 34.45 33.82 5.882 17.65
ExSv94IEV 220.90 0.59677 102.9 59.29 0 0
ExSv94IEVp 172.90 0.77765 57.47 64.57 0 0
ExSv94Ip 28.45 0.80903 35.4 36.94 0 3.333
