fname time Tem kT_1 n Rs Io Rsh Fb rmsre 
00L1 28456 294.02 39.433 1.569545032E+00 2.991505411E+03 9.006539804E-12 3.458277007E+07 9.651192860E-01 3.393761058E-02 
00L2 29108 295.01 39.301 1.549765408E+00 2.827116490E+03 8.100252909E-12 5.529873555E+07 9.712385641E-01 3.459412830E-02 
00L3 29766 296.01 39.168 1.530526326E+00 2.620744022E+03 8.295312828E-12 3.377697673E+07 9.740960628E-01 3.438823913E-02 
00L4 30448 297.01 39.036 1.499260837E+00 2.456327615E+03 8.249813067E-12 2.220181025E+07 9.777005043E-01 4.058125710E-02 
00L5 31116 298.04 38.901 1.474512065E+00 2.229403900E+03 8.982200297E-12 1.803030108E+07 9.790826490E-01 4.904295510E-02 
00L6 31792 299.02 38.774 1.478762290E+00 2.012195303E+03 1.169957671E-11 2.028939192E+07 9.756547230E-01 3.734981291E-02 
00L7 32466 300.03 38.643 1.485563088E+00 1.808713718E+03 1.551868182E-11 2.735554210E+07 9.718145022E-01 3.567013426E-02 
00L8 33146 301.02 38.516 1.460801503E+00 1.575464695E+03 2.002918115E-11 9.990713095E+19 9.685678846E-01 4.011480983E-01 
00L9 33828 302.04 38.386 1.486787741E+00 1.663943539E+03 2.138777744E-11 3.865942505E+07 9.703163977E-01 1.442186999E-01 
0L10 34512 303.04 38.26 1.506085222E+00 1.498814718E+03 2.509273390E-11 3.385117380E+07 9.695260804E-01 2.751290108E-02 
0L11 35170 304.01 38.138 1.542365485E+00 1.421974762E+03 3.322483994E-11 4.776514520E+07 9.654363200E-01 2.337022966E-02 
0L12 35852 305.02 38.011 1.470737170E+00 1.299780512E+03 3.024951340E-11 9.993639073E+19 9.712864171E-01 4.426718416E-01 
0L13 36520 306.03 37.886 1.558331304E+00 1.271104852E+03 4.846841706E-11 9.929047793E+19 9.622336138E-01 1.590709770E-02 
0L14 37176 307.02 37.764 1.596521827E+00 1.304938461E+03 5.446264111E-11 5.450638563E+07 9.624297763E-01 2.160270178E-02 
0L15 37842 308.02 37.641 1.622290434E+00 1.265016324E+03 6.584509551E-11 5.563062328E+07 9.606952054E-01 2.992074178E-02 
0L16 38486 309.01 37.52 1.641287174E+00 1.224299625E+03 7.888016305E-11 9.989585187E+19 9.591399696E-01 2.373938820E-02 
0L17 39136 310.03 37.397 1.654722579E+00 1.184117618E+03 9.073402663E-11 8.404599285E+07 9.587385168E-01 2.344826892E-02 
0L18 39798 311.04 37.276 1.675185949E+00 1.147803868E+03 1.078032479E-10 5.686273983E+08 9.574120071E-01 3.227274710E-02 
0L19 40466 312.02 37.159 1.692637920E+00 1.107272725E+03 1.247489558E-10 1.056512987E+08 9.566688676E-01 3.997913905E-02 
0L20 41110 313.03 37.039 1.709602134E+00 1.073066047E+03 1.451864371E-10 9.860217190E+19 9.558439472E-01 4.203782300E-02 
0L21 41760 314.04 36.92 1.726660514E+00 1.041335523E+03 1.672113495E-10 9.997086039E+19 9.552768935E-01 4.218756052E-02 
0L22 42414 315.03 36.803 1.723443112E+00 1.031123209E+03 1.711605816E-10 9.947511176E+19 9.578251369E-01 4.002092299E-02 
0L23 43058 316.03 36.687 1.727736267E+00 1.011652999E+03 1.872186822E-10 9.970521404E+19 9.585940068E-01 4.431747279E-02 
0L24 43700 317.02 36.572 1.725860664E+00 9.926061903E+02 1.978241814E-10 9.963340081E+19 9.602613204E-01 4.783442956E-02 
0L25 44346 318.01 36.459 1.740428274E+00 9.602114450E+02 2.321439132E-10 9.784867158E+19 9.590431385E-01 5.184846800E-02 
0L26 44986 319.03 36.342 1.727795805E+00 9.477866880E+02 2.392613097E-10 9.991219877E+19 9.614644893E-01 4.332646312E-02 
0L27 45630 320.03 36.228 1.730202230E+00 9.158400126E+02 2.647641789E-10 9.999948237E+19 9.618552917E-01 4.809207788E-02 
0L28 46268 321.01 36.118 1.724158678E+00 9.097450278E+02 2.832392187E-10 1.804329836E+09 9.631024466E-01 4.806002911E-02 
0L29 46912 322.02 36.005 1.720936205E+00 8.903595409E+02 3.004373777E-10 2.421510435E+14 9.646699522E-01 5.740739802E-02 
0L30 47550 323.02 35.893 1.710355717E+00 8.887777349E+02 3.113356264E-10 1.586661071E+08 9.668456738E-01 4.815612947E-02 
