B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.145956445E+00 1.128156685E+00 1.779976000E-02 1.145690814E+00 1.128106977E+00 1.758383700E-02
1.500000000E+01 295 1.138767480E+00 1.133360749E+00 5.406731000E-03 1.138711474E+00 1.133292205E+00 5.419269000E-03
1.500000000E+01 300 1.118443467E+00 1.138150361E+00 -1.970689400E-02 1.118387839E+00 1.138062718E+00 -1.967487900E-02
1.500000000E+01 305 1.102756111E+00 1.141984561E+00 -3.922845000E-02 1.102697132E+00 1.141874243E+00 -3.917711100E-02
1.500000000E+01 310 1.076584513E+00 1.143706703E+00 -6.712219000E-02 1.076537152E+00 1.143405389E+00 -6.686823700E-02
1.500000000E+01 315 1.045098720E+00 1.114010977E+00 -6.891225700E-02 1.045063253E+00 1.113824804E+00 -6.876155100E-02
1.500000000E+01 320 1.008348817E+00 1.089326086E+00 -8.097726900E-02 1.008267751E+00 1.089236249E+00 -8.096849800E-02
1.500000000E+01 325 1.007271011E+00 1.051887625E+00 -4.461661400E-02 1.007238392E+00 1.051833514E+00 -4.459512200E-02
1.500000000E+01 330 1.008029962E+00 1.010649453E+00 -2.619491000E-03 1.007994636E+00 1.010574014E+00 -2.579378000E-03
1.500000000E+01 335 1.009994219E+00 1.009342053E+00 6.521660000E-04 1.009949856E+00 1.009249906E+00 6.999500000E-04
1.500000000E+01 340 1.016836160E+00 1.011599565E+00 5.236595000E-03 1.016764322E+00 1.011484913E+00 5.279409000E-03
1.524993176E+01 290 1.153971627E+00 1.130721508E+00 2.325011900E-02 1.153898720E+00 1.130646502E+00 2.325221800E-02
1.524993176E+01 295 1.149783386E+00 1.136489025E+00 1.329436100E-02 1.149689547E+00 1.136391461E+00 1.329808600E-02
1.524993176E+01 300 1.152656982E+00 1.141755831E+00 1.090115100E-02 1.152540712E+00 1.141771796E+00 1.076891600E-02
1.524993176E+01 305 1.142567606E+00 1.142844571E+00 -2.769650000E-04 1.142445916E+00 1.142433124E+00 1.279200000E-05
1.524993176E+01 310 1.124065589E+00 1.142241372E+00 -1.817578300E-02 1.123914410E+00 1.142059197E+00 -1.814478700E-02
1.524993176E+01 315 1.106424569E+00 1.145813611E+00 -3.938904200E-02 1.106319052E+00 1.145589687E+00 -3.927063500E-02
1.524993176E+01 320 1.088025620E+00 1.143590726E+00 -5.556510600E-02 1.087934758E+00 1.143320707E+00 -5.538594900E-02
1.524993176E+01 325 1.036772511E+00 1.122742072E+00 -8.596956100E-02 1.036647356E+00 1.122505593E+00 -8.585823700E-02
1.524993176E+01 330 1.010192799E+00 1.087192224E+00 -7.699942500E-02 1.006986234E+00 1.087023579E+00 -8.003734500E-02
1.524993176E+01 335 1.006359525E+00 1.064695874E+00 -5.833634900E-02 1.006314440E+00 1.064546278E+00 -5.823183800E-02
1.524993176E+01 340 1.007061553E+00 1.009261559E+00 -2.200006000E-03 1.007028167E+00 1.009122778E+00 -2.094611000E-03
1.549996187E+01 290 1.159800487E+00 1.133144146E+00 2.665634100E-02 1.159682160E+00 1.133038390E+00 2.664377000E-02
1.549996187E+01 295 1.158268349E+00 1.139062950E+00 1.920539900E-02 1.157264725E+00 1.138925448E+00 1.833927700E-02
1.549996187E+01 300 1.161884805E+00 1.142971746E+00 1.891305900E-02 1.161708787E+00 1.142398824E+00 1.930996300E-02
1.549996187E+01 305 1.165594123E+00 1.141500777E+00 2.409334600E-02 1.165376510E+00 1.140983797E+00 2.439271300E-02
1.549996187E+01 310 1.167356726E+00 1.146206883E+00 2.114984300E-02 1.167094088E+00 1.145948544E+00 2.114554400E-02
1.549996187E+01 315 1.147828844E+00 1.150862727E+00 -3.033883000E-03 1.147547641E+00 1.150613408E+00 -3.065767000E-03
1.549996187E+01 320 1.129985318E+00 1.154727054E+00 -2.474173600E-02 1.129665583E+00 1.154331213E+00 -2.466563000E-02
1.549996187E+01 325 1.117876097E+00 1.157170998E+00 -3.929490100E-02 1.117622373E+00 1.156695171E+00 -3.907279800E-02
1.549996187E+01 330 1.093789915E+00 1.146783407E+00 -5.299349200E-02 1.093559591E+00 1.146426481E+00 -5.286689000E-02
1.549996187E+01 335 1.034644934E+00 1.123985686E+00 -8.934075200E-02 1.034547433E+00 1.123458587E+00 -8.891115400E-02
1.549996187E+01 340 1.006123112E+00 1.101232996E+00 -9.510988400E-02 1.006596036E+00 1.100939938E+00 -9.434390200E-02
1.574996808E+01 290 1.164946688E+00 1.138383731E+00 2.656295700E-02 1.164776288E+00 1.138233365E+00 2.654292300E-02
1.574996808E+01 295 1.171092064E+00 1.143090171E+00 2.800189300E-02 1.168938498E+00 1.142325779E+00 2.661271900E-02
1.574996808E+01 300 1.168438794E+00 1.141147988E+00 2.729080600E-02 1.168180641E+00 1.140452018E+00 2.772862300E-02
1.574996808E+01 305 1.173931775E+00 1.145765932E+00 2.816584300E-02 1.173606466E+00 1.145474145E+00 2.813232100E-02
1.574996808E+01 310 1.177525487E+00 1.151119991E+00 2.640549600E-02 1.176784912E+00 1.150751373E+00 2.603353900E-02
1.574996808E+01 315 1.176982593E+00 1.155838856E+00 2.114373700E-02 1.176415354E+00 1.155379711E+00 2.103564300E-02
1.574996808E+01 320 1.173856127E+00 1.160152463E+00 1.370366400E-02 1.173330009E+00 1.159586948E+00 1.374306100E-02
1.574996808E+01 325 1.158099648E+00 1.163616516E+00 -5.516868000E-03 1.157595295E+00 1.162929850E+00 -5.334555000E-03
1.574996808E+01 330 1.143472452E+00 1.166349177E+00 -2.287672500E-02 1.143001927E+00 1.165525803E+00 -2.252387600E-02
1.574996808E+01 335 1.123082007E+00 1.167326147E+00 -4.424414000E-02 1.122481962E+00 1.166359727E+00 -4.387776500E-02
1.574996808E+01 340 1.103927729E+00 1.149999841E+00 -4.607211200E-02 1.103559635E+00 1.149002923E+00 -4.544328800E-02
1.600000000E+01 290 1.169614948E+00 1.141885757E+00 2.772919100E-02 1.169394332E+00 1.141148883E+00 2.824544900E-02
1.600000000E+01 295 1.176797910E+00 1.139857610E+00 3.694030000E-02 1.176490767E+00 1.138995598E+00 3.749516900E-02
1.600000000E+01 300 1.174309100E+00 1.143786925E+00 3.052217500E-02 1.173946584E+00 1.143465072E+00 3.048151200E-02
1.600000000E+01 305 1.180808120E+00 1.149243207E+00 3.156491300E-02 1.180346886E+00 1.148831012E+00 3.151587400E-02
1.600000000E+01 310 1.183282268E+00 1.154625798E+00 2.865647000E-02 1.181701312E+00 1.154107104E+00 2.759420800E-02
1.600000000E+01 315 1.184291538E+00 1.159392048E+00 2.489949000E-02 1.182368816E+00 1.158746014E+00 2.362280200E-02
1.600000000E+01 320 1.187477761E+00 1.163874607E+00 2.360315400E-02 1.186653731E+00 1.163077567E+00 2.357616400E-02
1.600000000E+01 325 1.190214190E+00 1.167627967E+00 2.258622300E-02 1.189229934E+00 1.166658595E+00 2.257133900E-02
1.600000000E+01 330 1.180997484E+00 1.170749213E+00 1.024827100E-02 1.179965735E+00 1.169584185E+00 1.038155000E-02
1.600000000E+01 335 1.168484232E+00 1.173014452E+00 -4.530220000E-03 1.167458170E+00 1.171632710E+00 -4.174540000E-03
1.600000000E+01 340 1.154082998E+00 1.174275554E+00 -2.019255600E-02 1.152858429E+00 1.172760037E+00 -1.990160800E-02
1.624993176E+01 290 1.174015819E+00 1.137634640E+00 3.638117900E-02 1.173679305E+00 1.136634480E+00 3.704482500E-02
