N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 6.766333000E-03 8.745350000E-03 9.838487000E-03 1.030366000E-02
1.600000000E+01 3.197883400E-02 3.163413200E-02 3.133543500E-02 3.049664200E-02
1.700000000E+01 6.757300100E-02 6.708996900E-02 6.585383100E-02 6.642579800E-02
1.549996187E+01 2.319244900E-02 2.264026800E-02 2.368398100E-02 2.394827100E-02
1.649996187E+01 5.513439900E-02 5.433898000E-02 5.438119700E-02 5.418675600E-02
1.674996808E+01 6.385135600E-02 6.201035100E-02 6.251863500E-02 6.271049800E-02
1.624993176E+01 4.254293400E-02 4.225731600E-02 4.194452400E-02 4.173166100E-02
1.574996808E+01 2.639401300E-02 2.646102600E-02 2.570939100E-02 2.613658200E-02
1.524993176E+01 1.632959200E-02 1.679590600E-02 1.766695200E-02 1.808437500E-02
