X In Out
2.000E-6 -4.400E-10 2.470E-3
9.960E-3 2.460E-5 2.430E-3
2.021E-2 4.908E-5 2.415E-3
2.955E-2 7.186E-5 2.443E-3
3.954E-2 9.631E-5 2.448E-3
5.077E-2 1.238E-4 2.456E-3
5.942E-2 1.451E-4 2.469E-3
7.096E-2 1.737E-4 2.480E-3
7.991E-2 1.959E-4 2.490E-3
8.903E-2 2.187E-4 2.513E-3
1.005E-1 2.477E-4 2.533E-3
1.102E-1 2.723E-4 2.542E-3
1.204E-1 2.983E-4 2.574E-3
1.293E-1 3.214E-4 2.624E-3
1.408E-1 3.520E-4 2.660E-3
1.505E-1 3.778E-4 2.691E-3
1.594E-1 4.020E-4 2.758E-3
1.701E-1 4.320E-4 2.807E-3
1.796E-1 4.587E-4 2.858E-3
1.893E-1 4.869E-4 2.938E-3
1.993E-1 5.166E-4 3.027E-3
2.097E-1 5.487E-4 3.135E-3
2.196E-1 5.802E-4 3.242E-3
2.295E-1 6.129E-4 3.376E-3
2.393E-1 6.467E-4 3.517E-3
2.492E-1 6.822E-4 3.667E-3
2.597E-1 7.216E-4 3.905E-3
2.697E-1 7.621E-4 4.140E-3
2.794E-1 8.031E-4 4.419E-3
2.893E-1 8.488E-4 4.737E-3
2.993E-1 8.974E-4 5.132E-3
3.091E-1 9.503E-4 5.651E-3
3.192E-1 1.010E-3 6.276E-3
3.300E-1 1.082E-3 7.031E-3
3.403E-1 1.158E-3 7.938E-3
3.501E-1 1.241E-3 9.082E-3
3.599E-1 1.336E-3 1.049E-2
3.694E-1 1.443E-3 1.245E-2
3.802E-1 1.592E-3 1.522E-2
3.895E-1 1.745E-3 1.829E-2
3.992E-1 1.941E-3 2.276E-2
4.104E-1 2.229E-3 2.937E-2
4.210E-1 2.577E-3 3.800E-2
4.305E-1 2.982E-3 4.826E-2
4.409E-1 3.548E-3 6.381E-2
4.507E-1 4.260E-3 8.322E-2
4.607E-1 5.200E-3 1.077E-1
4.697E-1 6.280E-3 1.362E-1
4.796E-1 7.805E-3 1.753E-1
4.899E-1 9.838E-3 2.256E-1
4.998E-1 1.234E-2 2.854E-1
5.103E-1 1.570E-2 3.592E-1
5.207E-1 1.984E-2 4.306E-1
5.305E-1 2.436E-2 4.612E-1
