N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.015918062E+00 1.014717833E+00 1.013816384E+00 1.013085113E+00
1.600000000E+01 1.245109801E+00 1.241719312E+00 1.238429666E+00 1.235207393E+00
1.700000000E+01 1.263436012E+00 1.259328746E+00 1.254317601E+00 1.251347578E+00
1.549996187E+01 1.191213101E+00 1.180661158E+00 1.172319942E+00 1.164051302E+00
1.649996187E+01 1.258925447E+00 1.256650635E+00 1.254146698E+00 1.251853304E+00
1.674996808E+01 1.263152902E+00 1.258681800E+00 1.255990528E+00 1.253291509E+00
1.624993176E+01 1.253920876E+00 1.251193520E+00 1.248746551E+00 1.246002087E+00
1.574996808E+01 1.228821965E+00 1.223493834E+00 1.218701412E+00 1.214981661E+00
1.524993176E+01 1.087676885E+00 1.066933785E+00 1.046959683E+00 1.028676955E+00
